Busy Time
Capacity
2
Job,Release,Deadline,processingTime
J1,120,220,100
J2,118,234,24
J3,80,238,61
J4,87,229,98
J5,95,237,54
J6,85,244,91
J7,113,238,47
J8,82,223,84
J9,118,220,40
J10,94,225,77
J11,116,224,33
J12,117,228,70
J13,98,220,26
J14,109,239,63
J15,109,235,100
J16,119,230,56
J17,95,240,93
J18,98,224,49
J19,99,228,86
J20,91,243,42
J21,88,222,79
J22,100,243,35
J23,104,242,72
J24,107,228,28
J25,89,226,65
J26,107,236,21
J27,100,229,58
J28,117,241,95
J29,88,233,51
J30,89,242,88
J31,114,236,44
J32,99,232,81
J33,115,244,37
J34,89,236,74
J35,90,226,30
J36,83,230,67
J37,81,244,23
J38,97,223,60
J39,114,227,97
J40,103,227,53
J41,107,224,90
J42,105,230,46
J43,117,229,83
J44,87,230,39
J45,99,244,76
J46,87,233,32
J47,100,235,69
J48,113,242,25
J49,81,228,62
J50,89,224,99
J51,110,240,55
J52,115,221,92
J53,103,226,48
J54,87,237,85
J55,88,241,41
J56,86,220,78
J57,94,244,34
J58,106,243,71
J59,116,244,27
J60,120,230,64
J61,112,234,20
J62,105,220,57
J63,110,222,94
J64,87,243,50
J65,94,231,87
J66,101,227,43
J67,111,238,80
J68,103,230,36
J69,116,227,73
J70,106,229,29
J71,104,220,66
J72,92,221,22
J73,94,230,59
J74,104,225,96
J75,99,230,52
J76,84,233,89
J77,96,239,45
J78,112,243,82
J79,104,239,38
J80,107,225,75
J81,90,232,31
J82,116,239,68
J83,87,240,24
J84,91,235,61
J85,104,231,98
J86,113,243,54
J87,83,236,91
J88,107,221,47
J89,113,225,84
J90,102,224,40
J91,80,225,77
J92,99,239,33
J93,80,236,70
J94,116,222,26
J95,111,230,63
J96,80,221,100
J97,81,233,56
J98,86,244,93
J99,87,238,49
J100,112,227,86
J101,95,243,42
J102,100,228,79
J103,96,224,35
J104,107,239,72
J105,83,221,28
J106,115,236,65
J107,96,231,21
J108,85,233,58
J109,115,230,95
J110,94,220,51
J111,88,231,88
J112,108,237,44
J113,90,221,81
J114,93,237,37
J115,94,235,74
J116,116,221,30
J117,110,239,67
J118,87,222,23
J119,107,233,60
J120,119,233,97
J121,116,240,53
J122,101,220,90
J123,109,236,46
J124,90,234,83
J125,119,221,39
J126,93,225,76
J127,116,237,32
J128,81,229,69
J129,84,236,25
J130,117,243,62
J131,91,242,99
J132,112,224,55
J133,93,223,92
J134,108,222,48
J135,107,223,85
J136,90,230,41
J137,102,241,78
J138,117,230,34
J139,82,226,71
J140,95,231,27
J141,96,223,64
J142,80,224,20
J143,100,233,57
J144,99,225,94
J145,84,241,50
J146,94,239,87
J147,115,237,43
J148,97,241,80
J149,118,244,36
J150,82,231,73
J151,110,225,29
J152,114,230,66
J153,94,224,22
J154,97,244,59
J155,110,221,96
J156,100,242,52
J157,96,220,89
J158,111,244,45
J159,88,230,82
J160,82,236,38
J161,99,227,75
J162,114,242,31
J163,118,228,68
J164,118,229,24
J165,105,232,61
J166,96,237,98
J167,117,236,54
J168,111,233,91
J169,99,240,47
J170,112,232,84
J171,96,238,40
J172,93,229,77
J173,111,220,33
J174,96,243,70
J175,106,222,26
J176,99,238,63
J177,100,227,100
J178,106,221,56
J179,118,239,93
J180,117,221,49
J181,87,234,86
J182,101,234,42
J183,110,230,79
J184,103,241,35
J185,86,227,72
J186,91,232,28
J187,116,235,65
J188,98,226,21
J189,108,220,58
J190,103,222,95
J191,119,242,51
J192,109,226,88
J193,113,230,44
J194,113,235,81
J195,94,234,37
J196,83,237,74
J197,101,231,30
J198,93,220,67
J199,97,231,23
J200,114,240,60
J201,111,243,97
J202,111,237,53
J203,102,242,90
J204,96,234,46
J205,80,237,83
J206,112,238,39
J207,93,222,76
J208,112,223,32
J209,85,231,69
J210,83,233,25
J211,97,237,62
J212,88,220,99
J213,85,239,55
J214,112,233,92
J215,120,227,48
J216,108,223,85
J217,108,242,41
J218,116,236,78
J219,95,226,34
J220,95,230,71
J221,106,240,27
J222,87,223,64
J223,115,240,20
J224,94,242,57
J225,98,244,94
J226,96,235,50
J227,100,226,87
J228,98,227,43
J229,100,230,80
J230,82,220,36
J231,97,242,73
J232,96,244,29
J233,110,242,66
J234,92,228,22
J235,86,243,59
J236,85,242,96
J237,97,230,52
J238,119,231,89
J239,85,243,45
J240,120,221,82
J241,83,224,38
J242,90,242,75
J243,98,231,31
J244,113,226,68
J245,81,224,24
J246,101,237,61
J247,87,236,98
J248,111,240,54
J249,92,222,91
J250,102,230,47
J251,91,234,84
J252,116,220,40
J253,93,228,77
J254,99,241,33
J255,102,243,70
J256,84,239,26
J257,108,228,63
J258,106,223,100
J259,97,220,56
J260,82,234,93
J261,108,229,49
J262,116,223,86
J263,92,238,42
J264,104,237,79
J265,94,223,35
J266,108,235,72
J267,80,240,28
J268,99,221,65
J269,103,244,21
J270,87,224,58
J271,81,221,95
J272,102,238,51
J273,116,234,88
J274,116,242,44
J275,85,224,81
J276,105,224,37
J277,115,223,74
J278,91,227,30
J279,98,242,67
J280,120,241,23
J281,89,227,60
J282,112,239,97
J283,98,236,53
J284,92,236,90
