Busy Time
Capacity
2
Job,Release,Deadline,processingTime
J1,1,2001,100
J2,2,2002,24
J3,3,2003,61
J4,4,2004,98
J5,5,2005,54
J6,6,2006,91
J7,7,2007,47
J8,8,2008,84
J9,9,2009,40
J10,10,2010,77
J11,11,2011,33
J12,12,2012,70
J13,13,2013,26
J14,14,2014,63
J15,15,2015,100
J16,16,2016,56
J17,17,2017,93
J18,18,2018,49
J19,19,2019,86
J20,20,2020,42
J21,21,2021,79
J22,22,2022,35
J23,23,2023,72
J24,24,2024,28
J25,25,2025,65
J26,26,2026,21
J27,27,2027,58
J28,28,2028,95
J29,29,2029,51
J30,30,2030,88
J31,31,2031,44
J32,32,2032,81
J33,33,2033,37
J34,34,2034,74
J35,35,2035,30
J36,36,2036,67
J37,37,2037,23
J38,38,2038,60
J39,39,2039,97
J40,40,2040,53
J41,41,2041,90
J42,42,2042,46
J43,43,2043,83
J44,44,2044,39
J45,45,2045,76
J46,46,2046,32
J47,47,2047,69
J48,48,2048,25
J49,49,2049,62
J50,50,2050,99
J51,51,2051,55
J52,52,2052,92
J53,53,2053,48
J54,54,2054,85
J55,55,2055,41
J56,56,2056,78
J57,57,2057,34
J58,58,2058,71
J59,59,2059,27
J60,60,2060,64
J61,61,2061,20
J62,62,2062,57
J63,63,2063,94
J64,64,2064,50
J65,65,2065,87
J66,66,2066,43
J67,67,2067,80
J68,68,2068,36
J69,69,2069,73
J70,70,2070,29
J71,71,2071,66
J72,72,2072,22
J73,73,2073,59
J74,74,2074,96
J75,75,2075,52
J76,76,2076,89
J77,77,2077,45
J78,78,2078,82
J79,79,2079,38
J80,80,2080,75
J81,81,2081,31
J82,82,2082,68
J83,83,2083,24
J84,84,2084,61
J85,85,2085,98
J86,86,2086,54
J87,87,2087,91
J88,88,2088,47
J89,89,2089,84
J90,90,2090,40
J91,91,2091,77
J92,92,2092,33
J93,93,2093,70
J94,94,2094,26
J95,95,2095,63
J96,96,2096,100
J97,97,2097,56
J98,98,2098,93
J99,99,2099,49
J100,100,2100,86
J101,101,2101,42
J102,102,2102,79
J103,103,2103,35
J104,104,2104,72
J105,105,2105,28
J106,106,2106,65
J107,107,2107,21
J108,108,2108,58
J109,109,2109,95
J110,110,2110,51
J111,111,2111,88
J112,112,2112,44
J113,113,2113,81
J114,114,2114,37
J115,115,2115,74
J116,116,2116,30
J117,117,2117,67
J118,118,2118,23
J119,119,2119,60
J120,120,2120,97
J121,121,2121,53
J122,122,2122,90
J123,123,2123,46
J124,124,2124,83
J125,125,2125,39
J126,126,2126,76
J127,127,2127,32
J128,128,2128,69
J129,129,2129,25
J130,130,2130,62
J131,131,2131,99
J132,132,2132,55
J133,133,2133,92
J134,134,2134,48
J135,135,2135,85
J136,136,2136,41
J137,137,2137,78
J138,138,2138,34
J139,139,2139,71
J140,140,2140,27
J141,141,2141,64
J142,142,2142,20
J143,143,2143,57
J144,144,2144,94
J145,145,2145,50
J146,146,2146,87
J147,147,2147,43
J148,148,2148,80
J149,149,2149,36
J150,150,2150,73
J151,151,2151,29
J152,152,2152,66
J153,153,2153,22
J154,154,2154,59
J155,155,2155,96
J156,156,2156,52
J157,157,2157,89
J158,158,2158,45
J159,159,2159,82
J160,160,2160,38
J161,161,2161,75
J162,162,2162,31
J163,163,2163,68
J164,164,2164,24
J165,165,2165,61
J166,166,2166,98
J167,167,2167,54
J168,168,2168,91
J169,169,2169,47
J170,170,2170,84
J171,171,2171,40
J172,172,2172,77
J173,173,2173,33
J174,174,2174,70
J175,175,2175,26
J176,176,2176,63
J177,177,2177,100
J178,178,2178,56
J179,179,2179,93
J180,180,2180,49
J181,181,2181,86
J182,182,2182,42
J183,183,2183,79
J184,184,2184,35
J185,185,2185,72
J186,186,2186,28
J187,187,2187,65
J188,188,2188,21
J189,189,2189,58
J190,190,2190,95
J191,191,2191,51
J192,192,2192,88
J193,193,2193,44
J194,194,2194,81
J195,195,2195,37
J196,196,2196,74
J197,197,2197,30
J198,198,2198,67
J199,199,2199,23
J200,200,2200,60
J201,201,2201,97
J202,202,2202,53
J203,203,2203,90
J204,204,2204,46
J205,205,2205,83
J206,206,2206,39
J207,207,2207,76
J208,208,2208,32
J209,209,2209,69
J210,210,2210,25
J211,211,2211,62
J212,212,2212,99
J213,213,2213,55
J214,214,2214,92
J215,215,2215,48
J216,216,2216,85
J217,217,2217,41
J218,218,2218,78
J219,219,2219,34
J220,220,2220,71
J221,221,2221,27
J222,222,2222,64
J223,223,2223,20
J224,224,2224,57
J225,225,2225,94
J226,226,2226,50
J227,227,2227,87
J228,228,2228,43
J229,229,2229,80
J230,230,2230,36
J231,231,2231,73
J232,232,2232,29
J233,233,2233,66
J234,234,2234,22
J235,235,2235,59
J236,236,2236,96
J237,237,2237,52
J238,238,2238,89
J239,239,2239,45
J240,240,2240,82
J241,241,2241,38
J242,242,2242,75
J243,243,2243,31
J244,244,2244,68
J245,245,2245,24
J246,246,2246,61
J247,247,2247,98
J248,248,2248,54
J249,249,2249,91
J250,250,2250,47
J251,251,2251,84
J252,252,2252,40
J253,253,2253,77
J254,254,2254,33
J255,255,2255,70
J256,256,2256,26
J257,257,2257,63
J258,258,2258,100
J259,259,2259,56
J260,260,2260,93
J261,261,2261,49
J262,262,2262,86
J263,263,2263,42
J264,264,2264,79
J265,265,2265,35
J266,266,2266,72
J267,267,2267,28
J268,268,2268,65
J269,269,2269,21
J270,270,2270,58
J271,271,2271,95
J272,272,2272,51
J273,273,2273,88
J274,274,2274,44
J275,275,2275,81
J276,276,2276,37
J277,277,2277,74
J278,278,2278,30
J279,279,2279,67
J280,280,2280,23
J281,281,2281,60
J282,282,2282,97
J283,283,2283,53
J284,284,2284,90
J285,285,2285,46
J286,286,2286,83
J287,287,2287,39
J288,288,2288,76
J289,289,2289,32
J290,290,2290,69
J291,291,2291,25
J292,292,2292,62
J293,293,2293,99
J294,294,2294,55
J295,295,2295,92
J296,296,2296,48
J297,297,2297,85
J298,298,2298,41
J299,299,2299,78
J300,300,2300,34
J301,301,2301,71
J302,302,2302,27
J303,303,2303,64
J304,304,2304,20
J305,305,2305,57
J306,306,2306,94
J307,307,2307,50
J308,308,2308,87
J309,309,2309,43
J310,310,2310,80
J311,311,2311,36
J312,312,2312,73
J313,313,2313,29
J314,314,2314,66
J315,315,2315,22
J316,316,2316,59
J317,317,2317,96
J318,318,2318,52
J319,319,2319,89
J320,320,2320,45
J321,321,2321,82
J322,322,2322,38
J323,323,2323,75
J324,324,2324,31
J325,325,2325,68
J326,326,2326,24
J327,327,2327,61
J328,328,2328,98
J329,329,2329,54
J330,330,2330,91
