Machine,Start,End,Length,Jobs on Machine
I001_M001,4,5,1,"D, H"
I002_M001,5,6,1,"A, D"
I002_M002,5,6,1,"E, F"
I002_M003,5,6,1,H
I003_M001,6,7,1,"B, D"
I003_M002,6,7,1,"E, G"
I003_M003,6,7,1,"H, L"
I003_M004,6,7,1,R
I004_M001,7,8,1,"B, C"
I004_M002,7,8,1,"D, E"
I004_M003,7,8,1,"G, H"
I004_M004,7,8,1,"I, J"
I004_M005,7,8,1,"L, M"
I004_M006,7,8,1,R
I005_M001,8,9,1,"B, C"
I005_M002,8,9,1,"D, E"
I005_M003,8,9,1,"G, H"
I005_M004,8,9,1,"I, J"
I005_M005,8,9,1,"L, M"
I005_M006,8,9,1,"N, O"
I005_M007,8,9,1,"P, R"
I005_M008,8,9,1,U
I007_M001,11,12,1,"G, I"
I007_M002,11,12,1,"J, L"
I007_M003,11,12,1,"P, Q"
I007_M004,11,12,1,"R, U"
I007_M005,11,12,1,V
I009_M001,13,14,1,"AF, AG"
I009_M002,13,14,1,"G, I"
I009_M003,13,14,1,"J, K"
I009_M004,13,14,1,"P, Q"
I009_M005,13,14,1,U
I010_M001,14,15,1,"AA, AE"
I010_M002,14,15,1,"AF, AG"
I010_M003,14,15,1,"AJ, I"
I010_M004,14,15,1,"P, Q"
I010_M005,14,15,1,"S, T"
I010_M006,14,15,1,"U, Y"
I010_M007,14,15,1,Z
I011_M001,15,16,1,"AA, AB"
I011_M002,15,16,1,"AC, AD"
I011_M003,15,16,1,"AE, AF"
I011_M004,15,16,1,"AG, AJ"
I011_M005,15,16,1,"AK, AL"
I011_M006,15,16,1,"AO, P"
I011_M007,15,16,1,"Q, S"
I011_M008,15,16,1,"T, U"
I011_M009,15,16,1,"W, X"
I011_M010,15,16,1,Z
I013_M001,19,20,1,"AB, AD"
I013_M002,19,20,1,"AF, AG"
I013_M003,19,20,1,"AJ, AL"
I013_M004,19,20,1,"AM, AN"
I013_M005,19,20,1,"AO, AQ"
I013_M006,19,20,1,"AR, AU"
I013_M007,19,20,1,"S, T"
I013_M008,19,20,1,"W, Z"
I014_M001,20,21,1,"AG, AH"
I014_M002,20,21,1,"AI, AL"
I014_M003,20,21,1,"AM, AN"
I014_M004,20,21,1,"AP, AQ"
I014_M005,20,21,1,"AR, AX"
I014_M006,20,21,1,"BG, T"
I014_M007,20,21,1,Z
I015_M001,21,22,1,"AH, AI"
I015_M002,21,22,1,"AM, AN"
I015_M003,21,22,1,"AP, AQ"
I015_M004,21,22,1,"AR, AS"
I015_M005,21,22,1,"AX, BC"
I015_M006,21,22,1,"BD, BG"
I015_M007,21,22,1,T
I016_M001,22,23,1,"AH, AM"
I016_M002,22,23,1,"AN, AP"
I016_M003,22,23,1,"AQ, AR"
I016_M004,22,23,1,"AS, AX"
I016_M005,22,23,1,"BC, BD"
I016_M006,22,23,1,BG
I018_M001,25,26,1,"AP, AQ"
I018_M002,25,26,1,"AT, AW"
I018_M003,25,26,1,"AX, AY"
I018_M004,25,26,1,"AZ, BA"
I018_M005,25,26,1,"BC, BD"
I018_M006,25,26,1,"BG, BJ"
I018_M007,25,26,1,"BM, BP"
I019_M001,26,27,1,"AP, AV"
I019_M002,26,27,1,"AW, AY"
I019_M003,26,27,1,"AZ, BD"
I019_M004,26,27,1,"BG, BJ"
I019_M005,26,27,1,"BM, BO"
I019_M006,26,27,1,"BP, BT"
I020_M001,27,28,1,"AV, AW"
I020_M002,27,28,1,"AY, AZ"
I020_M003,27,28,1,"BB, BE"
I020_M004,27,28,1,"BF, BI"
I020_M005,27,28,1,"BK, BM"
I020_M006,27,28,1,"BO, BP"
I020_M007,27,28,1,BT
I021_M001,28,29,1,"AW, AY"
I021_M002,28,29,1,"AZ, BB"
I021_M003,28,29,1,"BF, BH"
I021_M004,28,29,1,"BI, BK"
I021_M005,28,29,1,"BM, BN"
I021_M006,28,29,1,"BP, BQ"
I021_M007,28,29,1,"BR, BT"
I021_M008,28,29,1,"BV, BZ"
I021_M009,28,29,1,CA
I022_M001,29,30,1,"AZ, BB"
I022_M002,29,30,1,"BF, BH"
I022_M003,29,30,1,"BI, BK"
I022_M004,29,30,1,"BL, BN"
I022_M005,29,30,1,"BP, BQ"
