Busy Time
Capacity
2
Job,Release,Deadline,processingTime
J1,1,31,26
J2,3,29,21
J3,5,48,37
J4,7,46,32
J5,9,44,27
J6,11,42,22
J7,13,54,38
J8,15,52,33
J9,17,50,28
J10,19,48,23
J11,21,67,39
J12,23,65,34
J13,25,63,29
J14,27,54,24
J15,29,73,40
J16,31,71,35
J17,33,69,30
J18,35,67,25
J19,37,65,20
J20,39,84,36
J21,41,75,31
J22,43,73,26
J23,45,71,21
J24,47,90,37
J25,49,88,32
J26,51,86,27
J27,53,84,22
J28,55,96,38
J29,57,94,33
J30,59,92,28
J31,61,90,23
J32,63,109,39
J33,65,107,34
J34,67,105,29
J35,69,96,24
J36,71,115,40
J37,73,113,35
J38,75,111,30
J39,77,109,25
J40,79,107,20
J41,81,126,36
J42,83,117,31
J43,85,115,26
J44,87,113,21
J45,89,132,37
J46,91,130,32
J47,93,128,27
J48,95,126,22
J49,97,138,38
J50,99,136,33
J51,101,134,28
J52,103,132,23
J53,105,151,39
J54,107,149,34
J55,109,147,29
J56,111,138,24
J57,113,157,40
J58,115,155,35
J59,117,153,30
J60,119,151,25
J61,121,149,20
J62,123,168,36
J63,125,159,31
J64,127,157,26
J65,129,155,21
J66,131,174,37
J67,133,172,32
J68,135,170,27
J69,137,168,22
J70,139,180,38
J71,141,178,33
J72,143,176,28
J73,145,174,23
J74,147,193,39
J75,149,191,34
J76,151,189,29
J77,153,180,24
J78,155,199,40
J79,157,197,35
J80,159,195,30
J81,161,193,25
J82,163,191,20
J83,165,210,36
J84,167,201,31
J85,169,199,26
J86,171,197,21
J87,173,216,37
J88,175,214,32
J89,177,212,27
J90,179,210,22
J91,181,222,38
J92,183,220,33
J93,185,218,28
J94,187,216,23
J95,189,235,39
J96,191,233,34
J97,193,231,29
J98,195,222,24
J99,197,241,40
J100,199,239,35
J101,201,237,30
J102,203,235,25
J103,205,233,20
J104,207,252,36
J105,209,243,31
J106,211,241,26
J107,213,239,21
J108,215,258,37
J109,217,256,32
J110,219,254,27
J111,221,252,22
J112,223,264,38
J113,225,262,33
J114,227,260,28
J115,229,258,23
J116,231,277,39
J117,233,275,34
J118,235,273,29
J119,237,264,24
J120,239,283,40
J121,241,281,35
J122,243,279,30
J123,245,277,25
J124,247,275,20
J125,249,294,36
J126,251,285,31
J127,253,283,26
J128,255,281,21
J129,257,300,37
J130,259,298,32
J131,261,296,27
J132,263,294,22
J133,265,306,38
J134,267,304,33
J135,269,302,28
J136,271,300,23
J137,273,319,39
J138,275,317,34
J139,277,315,29
J140,279,306,24
J141,281,325,40
J142,283,323,35
J143,285,321,30
J144,287,319,25
J145,289,317,20
J146,291,336,36
J147,293,327,31
J148,295,325,26
J149,297,323,21
J150,299,342,37
J151,301,340,32
J152,303,338,27
J153,305,336,22
J154,307,348,38
J155,309,346,33
J156,311,344,28
J157,313,342,23
J158,315,361,39
J159,317,359,34
J160,319,357,29
J161,321,348,24
J162,323,367,40
J163,325,365,35
J164,327,363,30
J165,329,361,25
J166,331,359,20
J167,333,378,36
J168,335,369,31
J169,337,367,26
J170,339,365,21
J171,341,384,37
J172,343,382,32
J173,345,380,27
J174,347,378,22
J175,349,390,38
J176,351,388,33
J177,353,386,28
J178,355,384,23
J179,357,403,39
J180,359,401,34
J181,361,399,29
J182,363,390,24
J183,365,409,40
J184,367,407,35
J185,369,405,30
J186,371,403,25
J187,373,401,20
J188,375,420,36
J189,377,411,31
J190,379,409,26
J191,381,407,21
J192,383,426,37
J193,385,424,32
J194,387,422,27
J195,389,420,22
J196,391,432,38
J197,393,430,33
J198,395,428,28
J199,397,426,23
J200,399,445,39
J201,401,443,34
J202,403,441,29
J203,405,432,24
J204,407,451,40
J205,409,449,35
J206,411,447,30
J207,413,445,25
J208,415,443,20
J209,417,462,36
J210,419,453,31
J211,421,451,26
J212,423,449,21
J213,425,468,37
J214,427,466,32
J215,429,464,27
J216,431,462,22
J217,433,474,38
J218,435,472,33
J219,437,470,28
