Job,Release,Deadline,processingTime
J1,1214,1268,50
J2,758,798,36
J3,1282,1366,80
J4,1241,1269,28
J5,532,616,80
J6,393,447,49
J7,1108,1192,80
J8,814,899,80
J9,475,519,39
J10,1778,1821,39
J11,1519,1588,69
J12,327,359,28
J13,617,642,25
J14,969,1027,54
J15,1463,1535,69
J16,1492,1566,70
J17,275,353,76
J18,74,107,32
J19,445,530,83
J20,1596,1676,75
J21,863,925,58
J22,1176,1247,69
J23,1199,1290,88
J24,476,572,94
J25,1754,1779,23
J26,1375,1477,97
J27,1431,1473,40
J28,1853,1946,89
J29,214,311,92
J30,1297,1348,47
J31,584,638,54
J32,988,1021,28
J33,182,265,81
J34,841,870,28
J35,602,627,22
J36,1788,1861,73
J37,1240,1269,25
J38,774,804,25
J39,678,777,95
J40,1036,1092,55
J41,635,659,24
J42,222,255,29
J43,65,154,88
J44,598,674,72
J45,320,378,53
J46,1778,1805,25
J47,738,799,60
J48,772,843,68
J49,791,882,86
J50,1395,1495,96
J51,1271,1308,33
J52,884,943,54
J53,617,670,50
J54,1068,1123,53
J55,695,785,90
J56,1188,1263,73
J57,772,798,22
J58,1295,1391,95
J59,1298,1330,27
J60,955,1019,62
J61,1247,1317,65
J62,1512,1570,55
J63,1208,1230,22
J64,757,781,22
J65,935,1037,100
J66,1232,1329,95
J67,746,789,42
J68,1553,1615,60
J69,541,639,96
J70,215,283,68
J71,1401,1498,92
J72,635,675,36
J73,1339,1389,48
J74,672,723,50
J75,1331,1411,75
J76,209,245,32
J77,684,750,61
J78,898,947,48
J79,690,725,30
J80,1813,1864,47
J81,555,633,77
J82,70,109,35
J83,646,694,44
J84,1769,1814,43
J85,1654,1722,63
J86,1652,1686,30
J87,1208,1273,64
J88,598,675,73
J89,952,1008,54
J90,595,671,73
J91,839,931,92
J92,320,393,72
J93,978,1002,20
J94,890,979,85
J95,67,120,48
J96,1714,1797,78
J97,592,682,86
J98,1823,1887,63
J99,1758,1790,28
J100,246,303,56
J101,72,102,25
J102,407,495,85
J103,102,195,93
J104,1527,1608,81
J105,1031,1074,41
J106,1358,1408,50
J107,1100,1190,87
J108,1870,1900,26
J109,700,735,34
J110,1765,1821,52
J111,1663,1744,81
J112,453,519,65
J113,1095,1130,35
J114,491,534,41
J115,1687,1723,36
J116,1288,1374,82
J117,103,176,71
J118,551,606,51
J119,1065,1155,87
J120,969,997,26
J121,1756,1776,20
J122,95,131,36
J123,141,170,26
J124,1750,1779,24
J125,1056,1091,31
J126,647,730,82
J127,147,209,60
J128,1325,1397,69
J129,623,720,95
J130,392,447,53
J131,254,329,74
J132,8,104,91
J133,1629,1697,68
J134,366,458,92
J135,944,1015,67
J136,779,873,89
J137,1276,1304,25
J138,763,794,26
J139,1557,1645,83
J140,862,927,60
J141,944,1017,73
J142,448,503,51
J143,1424,1482,54
J144,1645,1677,29
J145,873,922,48
J146,667,692,23
J147,1620,1713,91
J148,951,991,35
J149,1666,1706,35
J150,1623,1713,87
J151,1503,1538,33
J152,1090,1182,92
J153,1468,1563,95
J154,294,375,80
J155,91,164,69
J156,1156,1187,31
J157,367,435,68
J158,1724,1787,63
J159,1729,1752,23
J160,1713,1799,81
J161,1186,1244,56
J162,75,110,31
J163,1084,1174,85
J164,219,273,50
J165,1134,1166,32
J166,665,759,90
J167,1696,1739,43
J168,369,424,50
J169,931,986,51
J170,518,590,70
J171,813,911,96
J172,857,948,91
J173,1025,1094,68
J174,1728,1805,72
J175,851,896,40
J176,1549,1645,92
J177,1405,1494,86
J178,1317,1359,39
J179,333,372,39
J180,1533,1619,83
J181,908,998,86
J182,280,325,43
J183,301,350,45
J184,645,731,85
J185,1597,1687,88
J186,1220,1296,72
J187,548,643,94
J188,48,109,59
J189,1647,1731,81
J190,353,402,45
J191,490,558,66
J192,1586,1668,81
J193,1429,1505,73
J194,422,521,96
J195,1710,1809,94
J196,57,151,91
J197,1755,1787,29
J198,958,984,25
J199,1328,1383,50
J200,446,476,28
J201,1824,1875,50
J202,282,336,53
J203,1444,1548,99
J204,1843,1869,24
J205,1772,1813,41
J206,376,439,60
J207,1493,1524,31
J208,190,227,35
J209,74,133,57
J210,1189,1271,77
J211,15,78,63
J212,679,744,62
J213,996,1064,68
J214,1320,1370,46
J215,801,884,82
J216,653,742,89
J217,157,217,55
J218,231,309,75
J219,1862,1951,87
J220,1081,1118,32
J221,1390,1459,67
J222,606,688,77
J223,220,275,53
J224,1099,1195,92
J225,1366,1403,34
J226,722,807,85
J227,1390,1452,57
J228,1521,1614,92
J229,307,408,100
J230,1823,1895,67
J231,253,331,78
J232,290,383,91
J233,861,961,96
J234,1327,1386,58
J235,988,1068,78
J236,1445,1487,42
J237,1467,1501,33
J238,1113,1207,90
J239,736,806,70
J240,555,612,54
J241,1787,1814,26
J242,981,1010,25
J243,507,566,54
J244,726,813,85
J245,918,993,71
J246,723,754,28
J247,311,347,34
J248,205,305,95
J249,1156,1195,34
J250,379,418,34
J251,1162,1209,44
J252,1671,1746,70
J253,1213,1253,36
J254,1761,1802,38
J255,1116,1164,44
J256,1165,1207,41
J257,1779,1826,45
J258,1601,1670,67
J259,1726,1752,23
J260,1669,1744,72
J261,1132,1196,60
J262,1298,1360,59
J263,1407,1499,87
J264,1835,1898,58
J265,62,147,81
J266,1489,1538,44
J267,221,246,20
J268,1008,1058,49
J269,1281,1371,87
J270,397,446,45
J271,76,127,47
J272,229,309,76
J273,1347,1404,56
J274,957,994,37
J275,104,203,99
J276,1267,1334,66
J277,160,247,84
J278,39,129,88
J279,673,736,61
J280,165,206,37
J281,1467,1491,24
J282,1653,1717,63
J283,1765,1794,28
J284,1432,1508,75
J285,647,729,82
J286,837,862,25
J287,1446,1492,45
J288,1019,1092,70
J289,1101,1132,28
J290,1330,1379,46
J291,1551,1634,78
J292,898,970,71
J293,1842,1920,78
J294,752,806,52
J295,1085,1164,77
J296,823,920,96
J297,1647,1668,20
J298,1604,1659,53
J299,1752,1793,38
J300,400,489,88
J301,46,93,46
J302,827,925,94
J303,1304,1345,41
J304,226,267,37
J305,907,951,41
J306,123,166,43
J307,918,991,71
J308,68,145,72
J309,490,519,26
J310,813,841,25
J311,1862,1886,23
J312,194,247,50
J313,391,472,80
J314,1275,1337,62
J315,1870,1934,64
J316,107,208,96
J317,564,624,57
J318,1001,1060,58
J319,545,636,91
J320,1289,1354,63
J321,192,252,60
J322,184,263,75
J323,8,107,99
J324,1395,1418,23
J325,349,375,22
J326,987,1011,24
J327,1341,1389,44
J328,412,477,62
J329,1646,1712,63
J330,1349,1413,64
J331,625,697,68
J332,808,908,100
J333,378,438,57
J334,1040,1077,34
J335,685,779,90
J336,358,434,71
J337,1712,1785,69
J338,377,444,65
J339,898,972,73
J340,1597,1678,76
J341,707,790,81
J342,1039,1085,41
J343,1875,1977,97
J344,998,1067,69
J345,352,396,39
J346,1686,1711,22
J347,1554,1590,31
J348,656,689,32
J349,1728,1829,96
J350,1800,1831,27
J351,922,951,26
J352,758,820,62
J353,400,432,29
J354,694,731,33
J355,226,288,59
J356,1684,1719,30
J357,493,544,46
J358,313,344,26
J359,1200,1238,38
J360,471,507,34
J361,451,501,46
J362,860,949,85
J363,654,755,97
J364,958,1003,44
J365,163,262,99
J366,1226,1260,34
J367,409,443,32
J368,224,257,30
J369,457,533,71
J370,223,326,98
J371,1560,1647,82
J372,826,894,64
J373,1593,1670,77
J374,1711,1772,57
J375,1669,1748,76
J376,240,290,46
J377,951,973,20
J378,700,731,29
J379,993,1037,44
J380,1406,1501,90
J381,867,938,66
J382,1241,1273,28
J383,512,561,47
J384,687,715,27
J385,900,975,75
J386,447,501,52
J387,1536,1578,41
J388,1792,1844,47
J389,950,1053,98
J390,1747,1838,88
J391,392,463,67
J392,992,1067,72
J393,1204,1284,80
J394,38,96,57
J395,58,95,32
J396,603,646,39
J397,126,217,86
J398,84,165,80
J399,566,615,46
J400,78,155,75
J401,1520,1600,79
J402,293,349,56
J403,614,693,76
