Job,Release,Deadline,processingTime
J1,311,1552,50
J2,491,1579,70
J3,69,1510,31
J4,563,1969,71
J5,820,1891,57
J6,228,1766,27
J7,369,1641,88
J8,847,1554,42
J9,220,1982,53
J10,849,1828,23
J11,820,1639,53
J12,169,1658,44
J13,643,1944,57
J14,89,1932,67
J15,346,1843,97
J16,519,1627,69
J17,254,1742,42
J18,92,1983,55
J19,861,1653,90
J20,299,1793,20
J21,869,1891,59
J22,200,1711,85
J23,614,1647,74
J24,463,1582,75
J25,313,1632,49
J26,84,1523,25
J27,642,1643,79
J28,548,1831,86
J29,718,1675,80
J30,690,1600,38
J31,423,1967,28
J32,651,1823,45
J33,283,1594,76
J34,447,1882,65
J35,329,1824,95
J36,204,1963,91
J37,104,1929,61
J38,726,1617,27
J39,784,1798,55
J40,883,1621,98
J41,340,1978,35
J42,298,1735,42
J43,44,1682,23
J44,293,1876,30
J45,19,1665,61
J46,330,1994,56
J47,794,1833,39
J48,883,1982,72
J49,697,1918,99
J50,301,1816,29
J51,455,1649,44
J52,257,1695,37
J53,163,1669,96
J54,10,1686,93
J55,466,1586,25
J56,803,1911,66
J57,298,1792,66
J58,450,1606,32
J59,213,1558,74
J60,64,1528,27
J61,610,1846,41
J62,622,1520,39
J63,503,1798,89
J64,330,1518,51
J65,855,1770,35
J66,793,1709,57
J67,490,1603,45
J68,450,1710,50
J69,38,1612,82
J70,455,1627,73
J71,851,1610,74
J72,193,1516,83
J73,261,1629,24
J74,539,1606,51
J75,428,1945,49
J76,146,1666,53
J77,323,1789,26
J78,584,1706,34
J79,507,1698,25
J80,441,1607,31
J81,170,1672,93
J82,673,1741,57
J83,835,1715,60
J84,221,1835,87
J85,347,1972,54
J86,509,1538,70
J87,643,1842,55
J88,46,1702,44
J89,131,1892,99
J90,684,1938,54
J91,891,1585,27
J92,583,1741,79
J93,400,1611,71
J94,217,1972,20
J95,14,1812,40
J96,119,1702,52
J97,899,1613,68
J98,55,1949,90
J99,166,1843,45
J100,339,1919,97
J101,793,1901,91
J102,540,1725,80
J103,81,1517,23
J104,116,1750,96
J105,886,1631,91
J106,793,1571,97
J107,372,1540,25
J108,11,1652,86
J109,848,1538,64
J110,557,1732,30
J111,211,1903,68
J112,398,1619,59
J113,877,1994,82
J114,98,1539,71
J115,636,1908,34
J116,525,1722,66
J117,879,1864,73
J118,69,1821,76
J119,653,1654,45
J120,433,1560,81
J121,172,1690,91
J122,181,1861,40
J123,335,1753,39
J124,265,1777,63
J125,728,1586,20
J126,664,1659,20
J127,559,1556,35
J128,806,1866,82
J129,496,1769,96
J130,534,1625,29
J131,868,1650,72
J132,235,1892,65
J133,885,1820,43
J134,693,1527,20
J135,321,1778,98
J136,802,1966,79
J137,313,1979,92
J138,806,1725,84
J139,633,1726,98
J140,145,1628,70
J141,371,1838,96
J142,137,1721,63
J143,621,1573,30
J144,182,1646,99
J145,203,1794,67
J146,692,1817,64
J147,79,1706,31
