Job,Release,Deadline,processingTime
J1,524,628,99
J2,1629,1699,65
J3,60,153,87
J4,1590,1670,79
J5,1846,1873,26
J6,762,799,34
J7,780,835,51
J8,1176,1210,33
J9,1498,1520,21
J10,573,646,72
J11,327,402,69
J12,285,318,29
J13,912,1012,99
J14,4,46,36
J15,429,455,20
J16,340,393,47
J17,593,636,41
J18,1105,1155,45
J19,420,521,100
J20,1831,1879,45
J21,45,105,58
J22,340,414,73
J23,134,189,53
J24,1675,1737,58
J25,7,106,95
J26,136,201,63
J27,1677,1744,65
J28,1427,1510,81
J29,986,1032,43
J30,117,161,42
J31,1536,1560,22
J32,38,113,71
J33,750,826,73
J34,1723,1817,94
J35,96,178,77
J36,1278,1322,43
J37,1548,1584,35
J38,706,789,79
J39,1829,1898,65
J40,1589,1644,52
J41,1208,1246,33
J42,1761,1830,67
J43,887,911,24
J44,698,748,46
J45,743,842,98
J46,565,633,63
J47,189,280,89
J48,628,689,60
J49,1284,1315,30
J50,991,1051,59
J51,166,196,26
J52,832,920,88
J53,1517,1571,50
J54,1693,1759,64
J55,1334,1415,78
J56,115,158,38
J57,1642,1669,24
J58,1718,1781,62
J59,1499,1539,36
J60,1292,1334,36
J61,219,292,72
J62,764,840,75
J63,1731,1761,27
J64,290,350,57
J65,1746,1846,99
J66,929,1018,86
J67,982,1044,60
J68,963,1023,57
J69,231,272,38
J70,368,461,88
J71,1778,1863,83
J72,183,229,43
J73,1056,1116,54
J74,1777,1871,90
J75,130,202,66
J76,1423,1492,65
J77,1556,1582,24
J78,1146,1217,66
J79,1711,1769,55
J80,1577,1635,53
J81,697,759,57
J82,1190,1238,42
J83,972,997,21
J84,668,725,52
J85,949,1006,55
J86,1326,1415,84
J87,713,780,65
J88,1512,1582,64
J89,717,795,72
J90,1782,1830,42
J91,747,826,77
J92,291,381,86
J93,407,454,41
J94,1749,1818,66
J95,1417,1473,56
J96,352,429,73
J97,1058,1157,94
J98,620,697,73
J99,1587,1683,90
J100,1476,1530,54
J101,328,377,45
J102,1279,1360,76
J103,449,498,43
J104,1293,1341,43
J105,966,992,25
J106,111,153,41
J107,650,685,34
J108,397,482,81
J109,851,878,24
J110,779,848,64
J111,148,250,98
J112,488,539,46
J113,2,71,67
J114,571,648,71
J115,1775,1847,72
J116,766,856,90
J117,1257,1349,90
J118,605,641,32
J119,696,785,85
J120,721,784,57
J121,859,898,36
J122,1316,1412,92
J123,958,1026,67
J124,1221,1264,40
J125,977,1070,92
J126,1247,1284,37
J127,1682,1751,64
J128,783,803,20
J129,1159,1224,61
J130,289,380,89
J131,1796,1900,100
J132,880,951,68
J133,1011,1061,48
J134,1451,1535,81
J135,1751,1821,69
J136,1217,1315,96
J137,1017,1077,58
