Job,Release,Deadline,processingTime
J1,1,38,26
J2,4,37,21
J3,7,57,37
J4,10,56,32
J5,13,55,27
J6,16,54,22
J7,19,74,38
J8,22,73,33
J9,25,72,28
J10,28,71,23
J11,31,91,39
J12,34,90,34
J13,37,89,29
J14,40,88,24
J15,43,108,40
J16,46,107,35
J17,49,106,30
J18,52,105,25
J19,55,104,20
J20,58,104,36
J21,61,103,31
J22,64,102,26
J23,67,101,21
J24,70,121,37
J25,73,120,32
J26,76,119,27
J27,79,118,22
J28,82,138,38
J29,85,137,33
J30,88,136,28
J31,91,135,23
J32,94,155,39
J33,97,154,34
J34,100,153,29
J35,103,152,24
J36,106,172,40
J37,109,171,35
J38,112,170,30
J39,115,169,25
J40,118,148,20
J41,121,168,36
J42,124,167,31
J43,127,166,26
J44,130,165,21
J45,133,185,37
J46,136,184,32
J47,139,183,27
J48,142,182,22
J49,145,202,38
J50,148,201,33
J51,151,200,28
J52,154,199,23
J53,157,219,39
J54,160,218,34
J55,163,217,29
J56,166,216,24
J57,169,236,40
J58,172,235,35
J59,175,234,30
J60,178,213,25
J61,181,212,20
J62,184,232,36
J63,187,231,31
J64,190,230,26
J65,193,229,21
J66,196,249,37
J67,199,248,32
J68,202,247,27
J69,205,246,22
J70,208,266,38
J71,211,265,33
J72,214,264,28
J73,217,263,23
J74,220,283,39
J75,223,282,34
J76,226,281,29
J77,229,280,24
J78,232,300,40
J79,235,299,35
J80,238,278,30
J81,241,277,25
J82,244,276,20
J83,247,296,36
J84,250,295,31
J85,253,294,26
J86,256,293,21
J87,259,313,37
J88,262,312,32
J89,265,311,27
J90,268,310,22
J91,271,330,38
J92,274,329,33
J93,277,328,28
J94,280,327,23
J95,283,347,39
J96,286,346,34
J97,289,345,29
J98,292,344,24
J99,295,364,40
J100,298,343,35
J101,301,342,30
J102,304,341,25
J103,307,340,20
J104,310,360,36
J105,313,359,31
J106,316,358,26
J107,319,357,21
J108,322,377,37
J109,325,376,32
J110,328,375,27
J111,331,374,22
J112,334,394,38
J113,337,393,33
J114,340,392,28
J115,343,391,23
J116,346,411,39
J117,349,410,34
J118,352,409,29
J119,355,408,24
J120,358,408,40
J121,361,407,35
J122,364,406,30
J123,367,405,25
J124,370,404,20
J125,373,424,36
J126,376,423,31
J127,379,422,26
J128,382,421,21
J129,385,441,37
J130,388,440,32
J131,391,439,27
J132,394,438,22
