Job,Release,Deadline,processingTime
J1,40,210,68
J2,40,211,24
J3,41,209,61
J4,41,210,98
J5,42,208,54
J6,42,209,91
J7,43,207,47
J8,43,208,84
J9,44,206,40
J10,44,207,77
J11,45,205,33
J12,45,206,70
J13,46,204,26
J14,46,205,63
J15,47,203,100
J16,47,204,56
J17,48,202,93
J18,48,203,49
J19,49,201,86
J20,49,202,42
J21,50,200,79
J22,50,201,35
J23,51,199,72
J24,51,200,28
J25,52,198,65
J26,52,199,21
J27,53,197,58
J28,53,198,95
J29,54,196,51
J30,54,197,88
J31,55,195,44
J32,55,196,81
J33,56,194,37
J34,56,195,74
J35,57,193,30
J36,57,194,67
J37,58,192,23
J38,58,193,60
J39,59,191,97
J40,59,192,53
J41,60,190,90
J42,60,191,46
J43,61,189,83
J44,61,190,39
J45,62,188,76
J46,62,189,32
J47,63,187,69
J48,63,188,25
J49,64,186,62
J50,64,187,99
J51,65,185,55
J52,65,186,92
J53,66,184,48
J54,66,185,85
J55,67,183,41
J56,67,184,78
J57,68,182,34
J58,68,183,71
J59,69,181,27
J60,69,182,64
J61,70,180,20
J62,70,181,57
J63,71,179,94
J64,71,180,50
J65,72,178,87
J66,72,179,43
J67,73,177,80
J68,73,178,36
J69,74,176,73
J70,74,177,29
J71,75,175,66
J72,75,176,22
J73,76,174,59
J74,76,175,96
J75,77,173,52
J76,77,174,89
J77,78,172,45
J78,78,173,82
J79,79,171,38
J80,79,172,75
J81,80,170,31
J82,80,171,68
J83,81,169,24
J84,81,170,61
J85,82,183,98
J86,82,168,54
J87,83,179,91
J88,83,167,47
J89,84,175,84
J90,84,166,40
J91,85,165,77
J92,85,166,33
J93,86,164,70
J94,86,165,26
J95,87,163,63
J96,87,192,100
J97,88,162,56
J98,88,188,93
J99,89,161,49
J100,89,175,86
J101,220,390,42
J102,220,391,79
J103,221,389,35
J104,221,390,72
J105,222,388,28
J106,222,389,65
J107,223,387,21
J108,223,388,58
J109,224,386,95
J110,224,387,51
J111,225,385,88
J112,225,386,44
J113,226,384,81
J114,226,385,37
J115,227,383,74
J116,227,384,30
J117,228,382,67
J118,228,383,23
J119,229,381,60
J120,229,382,97
J121,230,380,53
J122,230,381,90
J123,231,379,46
J124,231,380,83
J125,232,378,39
J126,232,379,76
J127,233,377,32
J128,233,378,69
J129,234,376,25
J130,234,377,62
J131,235,375,99
J132,235,376,55
J133,236,374,92
J134,236,375,48
J135,237,373,85
J136,237,374,41
J137,238,372,78
J138,238,373,34
J139,239,371,71
J140,239,372,27
J141,240,370,64
J142,240,371,20
J143,241,369,57
J144,241,370,94
J145,242,368,50
J146,242,369,87
J147,243,367,43
J148,243,368,80
J149,244,366,36
J150,244,367,73
J151,245,365,29
J152,245,366,66
J153,246,364,22
J154,246,365,59
J155,247,363,96
J156,247,364,52
J157,248,362,89
J158,248,363,45
J159,249,361,82
J160,249,362,38
J161,250,360,75
J162,250,361,31
J163,251,359,68
J164,251,360,24
J165,252,358,61
J166,252,359,98
J167,253,357,54
J168,253,358,91
J169,254,356,47
J170,254,357,84
J171,255,355,40
J172,255,356,77
J173,256,354,33
J174,256,355,70
J175,257,353,26
J176,257,354,63
J177,258,362,100
J178,258,352,56
J179,259,358,93
J180,259,351,49
J181,260,350,86
J182,260,351,42
J183,261,349,79
J184,261,350,35
J185,262,348,72
J186,262,349,28
J187,263,347,65
J188,263,348,21
J189,264,346,58
J190,264,367,95
J191,265,345,51
J192,265,354,88
J193,266,344,44
J194,266,350,81
J195,267,343,37
J196,267,344,74
J197,268,342,30
J198,268,343,67
J199,269,341,23
J200,269,342,60
J201,400,570,97
J202,400,571,53
J203,401,569,90
J204,401,570,46
J205,402,568,83
J206,402,569,39
J207,403,567,76
J208,403,568,32
J209,404,566,69
J210,404,567,25
J211,405,565,62
J212,405,566,99
J213,406,564,55
J214,406,565,92
J215,407,563,48
J216,407,564,85
J217,408,562,41
J218,408,563,78
J219,409,561,34
J220,409,562,71
J221,410,560,27
J222,410,561,64
J223,411,559,20
J224,411,560,57
J225,412,558,94
J226,412,559,50
J227,413,557,87
J228,413,558,43
J229,414,556,80
J230,414,557,36
J231,415,555,73
J232,415,556,29
J233,416,554,66
J234,416,555,22
J235,417,553,59
J236,417,554,96
