Job,Release,Deadline,processingTime
J1,216,366,100
J2,217,353,24
J3,216,377,61
J4,167,358,98
J5,201,334,54
J6,194,345,91
J7,164,347,47
J8,193,359,84
J9,176,370,40
J10,205,370,77
J11,186,343,33
J12,166,378,70
J13,169,334,26
J14,195,357,63
J15,203,380,100
J16,179,333,56
J17,191,376,93
J18,201,337,49
J19,200,369,86
J20,184,344,42
J21,205,354,79
J22,185,351,35
J23,214,362,72
J24,169,325,28
J25,185,321,65
J26,167,342,21
J27,191,330,58
J28,192,370,95
J29,160,339,51
J30,220,332,88
J31,524,650,100
J32,531,683,81
J33,496,658,37
J34,519,665,74
J35,514,673,30
J36,503,698,67
J37,522,669,23
J38,511,698,60
J39,480,699,97
J40,492,680,53
J41,521,671,90
J42,516,642,46
J43,534,641,83
J44,511,662,39
J45,515,686,76
J46,528,656,32
J47,514,685,69
J48,530,646,25
J49,527,658,62
J50,494,674,99
J51,499,646,55
J52,494,669,92
J53,538,650,48
J54,481,682,85
J55,515,685,41
J56,502,644,78
J57,534,679,34
J58,517,644,71
J59,510,675,27
J60,499,669,64
J61,838,973,100
J62,822,964,57
J63,837,1013,94
J64,810,988,50
J65,811,989,87
J66,803,1013,43
J67,822,985,80
J68,837,1020,36
J69,849,992,73
J70,818,973,29
J71,849,1004,66
J72,835,980,22
J73,859,981,59
J74,815,1012,96
J75,836,978,52
J76,810,960,89
J77,813,970,45
J78,842,989,82
J79,818,990,38
J80,822,986,75
J81,838,1018,31
J82,804,999,68
J83,813,972,24
J84,818,1016,61
J85,835,1018,98
J86,826,1020,54
J87,856,963,91
J88,830,991,47
J89,827,964,84
J90,830,978,40
J91,1131,1333,100
J92,1161,1295,33
J93,1129,1302,70
J94,1126,1339,26
J95,1148,1321,63
J96,1174,1326,100
J97,1139,1304,56
J98,1138,1302,93
J99,1141,1303,49
J100,1158,1309,86
J101,1155,1340,42
J102,1165,1332,79
J103,1149,1319,35
J104,1170,1314,72
J105,1177,1302,28
J106,1143,1291,65
J107,1180,1315,21
J108,1171,1313,58
J109,1156,1336,95
J110,1148,1305,51
J111,1120,1316,88
J112,1149,1306,44
J113,1129,1328,81
J114,1148,1288,37
J115,1127,1311,74
J116,1136,1296,30
J117,1164,1314,67
J118,1133,1299,23
J119,1159,1331,60
J120,1176,1285,97
J121,1455,1609,100
J122,1484,1632,90
J123,1491,1611,46
J124,1497,1606,83
J125,1469,1609,39
J126,1443,1651,76
J127,1498,1652,32
J128,1498,1632,69
J129,1475,1633,25
J130,1483,1627,62
J131,1495,1660,99
J132,1441,1638,55
J133,1473,1636,92
J134,1447,1601,48
J135,1474,1614,85
J136,1457,1613,41
J137,1496,1611,78
J138,1474,1639,34
J139,1455,1659,71
J140,1481,1613,27
J141,1490,1603,64
J142,1482,1627,20
J143,1445,1615,57
J144,1452,1614,94
J145,1453,1608,50
J146,1498,1620,87
J147,1442,1600,43
J148,1485,1610,80
J149,1441,1637,36
J150,1473,1630,73
