Busy Time
Capacity
2
Job,Release,Deadline,processingTime
J1,10,55,26
J2,48,89,21
J3,86,144,37
J4,124,178,32
J5,162,212,27
J6,200,246,22
J7,238,294,38
J8,276,328,33
J9,314,362,28
J10,352,396,23
J11,390,451,39
J12,428,485,34
J13,466,519,29
J14,504,546,24
J15,542,601,40
J16,580,635,35
J17,618,669,30
J18,656,703,25
J19,694,737,20
J20,732,792,36
J21,770,819,31
J22,808,853,26
J23,846,887,21
J24,884,942,37
J25,922,976,32
J26,960,1010,27
J27,998,1044,22
J28,1036,1092,38
J29,1074,1126,33
J30,1112,1160,28
J31,1150,1194,23
J32,1188,1249,39
J33,1226,1283,34
J34,1264,1317,29
J35,1302,1344,24
J36,1340,1399,40
J37,1378,1433,35
J38,1416,1467,30
J39,1454,1501,25
J40,1492,1535,20
J41,1530,1590,36
J42,1568,1617,31
J43,1606,1651,26
J44,1644,1685,21
J45,1682,1740,37
J46,1720,1774,32
J47,1758,1808,27
J48,1796,1842,22
J49,1834,1890,38
J50,1872,1924,33
