Busy Time
Capacity
2
Job,Release,Deadline,processingTime
J1,791,1001,100
J2,792,1002,24
J3,793,1003,61
J4,794,1004,98
J5,795,1005,54
J6,796,1006,91
J7,797,1007,47
J8,798,1008,84
J9,799,1009,40
J10,800,1010,77
J11,801,1011,33
J12,802,1012,70
J13,803,1013,26
J14,804,1014,63
J15,805,1015,100
J16,806,1016,56
J17,807,1017,93
J18,808,1018,49
J19,809,1019,86
J20,810,1020,42
J21,811,1021,79
J22,812,1022,35
J23,813,1023,72
J24,814,1024,28
J25,815,1025,65
J26,816,1026,21
J27,817,1027,58
J28,818,1028,95
J29,819,1029,51
J30,820,1030,88
J31,821,1031,44
J32,822,1032,81
J33,823,1033,37
J34,824,1034,74
J35,825,1035,30
J36,826,1036,67
J37,827,1037,23
J38,828,1038,60
J39,829,1039,97
J40,830,1040,53
J41,831,1041,90
J42,832,1042,46
J43,833,1043,83
J44,834,1044,39
J45,835,1045,76
J46,836,1046,32
J47,837,1047,69
J48,838,1048,25
J49,839,1049,62
J50,840,1050,99
