Busy Time
Capacity
2
Job,Release,Deadline,processingTime
J1,20,89,68
J2,32,58,24
J3,44,108,61
J4,56,158,98
J5,68,127,54
J6,80,171,91
J7,92,140,47
J8,104,190,84
J9,116,159,40
J10,128,209,77
J11,140,178,33
J12,152,222,70
J13,164,191,26
J14,176,241,63
J15,188,291,100
J16,200,260,56
J17,212,310,93
J18,224,273,49
J19,236,323,86
J20,248,292,42
J21,260,342,79
J22,272,311,35
J23,284,361,72
J24,296,324,28
J25,308,374,65
J26,320,343,21
J27,332,393,58
J28,344,443,95
J29,356,412,51
J30,368,456,88
J31,380,425,44
J32,392,475,81
J33,404,444,37
J34,416,494,74
J35,428,463,30
J36,440,507,67
J37,452,476,23
J38,464,526,60
J39,476,576,97
J40,488,545,53
J41,500,595,90
J42,512,558,46
J43,524,608,83
J44,536,577,39
J45,548,627,76
J46,560,596,32
J47,572,646,69
J48,584,609,25
J49,596,659,62
J50,608,709,99
