Busy Time
Capacity
2
Job,Release,Deadline,processingTime
J1,9,1455,68
J2,13,1460,24
J3,17,1465,61
J4,21,1470,98
J5,25,1475,54
J6,29,1480,91
J7,33,1485,47
J8,37,1490,84
J9,41,1495,40
J10,45,1500,77
J11,49,1505,33
J12,53,1510,70
J13,57,1515,26
J14,61,1520,63
J15,65,1525,100
J16,69,1530,56
J17,73,1535,93
J18,77,1540,49
J19,81,1545,86
J20,85,1550,42
J21,89,1555,79
J22,93,1560,35
J23,97,1565,72
J24,101,1570,28
J25,105,1575,65
J26,109,1580,21
J27,113,1585,58
J28,117,1590,95
J29,121,1595,51
J30,125,1600,88
J31,129,1605,44
J32,133,1610,81
J33,137,1615,37
J34,141,1620,74
J35,145,1625,30
J36,149,1630,67
J37,153,1635,23
J38,157,1640,60
J39,161,1645,97
J40,165,1650,53
J41,169,1655,90
J42,173,1660,46
J43,177,1665,83
J44,181,1670,39
J45,185,1675,76
J46,189,1680,32
J47,193,1685,69
J48,197,1690,25
J49,201,1695,62
J50,205,1700,99
