Busy Time
Capacity
2
Job,Release,Deadline,processingTime
J1,30,98,68
J2,42,67,24
J3,54,117,61
J4,66,167,98
J5,78,136,54
J6,90,181,91
J7,102,150,47
J8,114,200,84
J9,126,169,40
J10,138,219,77
J11,260,1000,33
J12,263,1009,70
J13,266,1018,26
J14,269,1027,63
J15,272,1036,100
J16,275,1045,56
J17,278,1054,93
J18,281,1063,49
J19,284,1072,86
J20,287,1081,42
J21,680,850,79
J22,681,851,35
J23,682,852,72
J24,683,853,28
J25,684,854,65
J26,685,855,21
J27,686,856,58
J28,687,857,95
J29,688,858,51
J30,689,859,88
J31,1100,1153,31
J32,1135,1195,37
J33,1170,1237,43
J34,1205,1279,49
J35,1240,1286,24
J36,1275,1328,30
J37,1310,1370,36
J38,1345,1412,42
J39,1380,1450,48
J40,1415,1461,23
J41,1550,1670,90
J42,1554,1631,46
J43,1558,1673,83
J44,1562,1634,39
J45,1566,1676,76
J46,1570,1637,32
J47,1574,1679,69
J48,1578,1640,25
J49,1582,1674,62
J50,1586,1716,99
