Busy Time
Capacity
2
Job,Release,Deadline,processingTime
J1,701,951,86
J2,702,952,81
J3,703,953,97
J4,704,954,92
J5,705,955,87
J6,706,956,82
J7,707,957,98
J8,708,958,93
J9,709,959,88
J10,710,960,83
J11,711,961,99
J12,712,962,94
J13,713,963,89
J14,714,964,84
J15,715,965,100
J16,716,966,95
J17,717,967,90
J18,718,968,85
J19,719,969,80
J20,720,970,96
J21,721,971,91
J22,722,972,86
J23,723,973,81
J24,724,974,97
J25,725,975,92
J26,726,976,87
J27,727,977,82
J28,728,978,98
J29,729,979,93
J30,730,980,88
J31,731,981,83
J32,732,982,99
J33,733,983,94
J34,734,984,89
J35,735,985,84
J36,736,986,100
J37,737,987,95
J38,738,988,90
J39,739,989,85
J40,740,990,80
J41,741,991,96
J42,742,992,91
J43,743,993,86
J44,744,994,81
J45,745,995,97
J46,746,996,92
J47,747,997,87
J48,748,998,82
J49,749,999,98
J50,750,1000,93
