Busy Time
Capacity
2
Job,Release,Deadline,processingTime
J1,20,72,26
J2,40,88,21
J3,60,125,37
J4,80,141,32
J5,100,157,27
J6,120,173,22
J7,140,210,38
J8,160,226,33
J9,180,242,28
J10,200,248,23
J11,220,285,39
J12,240,301,34
J13,260,317,29
J14,280,333,24
J15,300,370,40
J16,320,386,35
J17,340,402,30
J18,360,418,25
J19,380,434,20
J20,400,461,36
J21,420,477,31
J22,440,493,26
J23,460,509,21
J24,480,546,37
J25,500,562,32
J26,520,578,27
J27,540,594,22
J28,560,631,38
J29,580,647,33
J30,600,653,28
J31,620,669,23
J32,640,706,39
J33,660,722,34
J34,680,738,29
J35,700,754,24
J36,720,791,40
J37,740,807,35
J38,760,823,30
J39,780,839,25
J40,800,845,20
J41,820,882,36
J42,840,898,31
J43,860,914,26
J44,880,930,21
J45,900,967,37
J46,920,983,32
J47,940,999,27
J48,960,1015,22
J49,980,1052,38
J50,1000,1058,33
