Busy Time
Capacity
2
Job,Release,Deadline,processingTime
J1,205,350,100
J2,210,354,24
J3,215,358,61
J4,220,362,98
J5,225,366,54
J6,230,370,91
J7,235,374,47
J8,240,378,84
J9,245,382,40
J10,250,386,77
J11,506,651,100
J12,511,655,70
J13,516,659,26
J14,521,663,63
J15,526,667,100
J16,531,671,56
J17,536,675,93
J18,541,679,49
J19,546,683,86
J20,551,687,42
J21,807,952,100
J22,812,956,35
J23,817,960,72
J24,822,964,28
J25,827,968,65
J26,832,972,21
J27,837,976,58
J28,842,980,95
J29,847,984,51
J30,852,988,88
J31,1108,1253,100
J32,1113,1257,81
J33,1118,1261,37
J34,1123,1265,74
J35,1128,1269,30
J36,1133,1273,67
J37,1138,1277,23
J38,1143,1281,60
J39,1148,1285,97
J40,1153,1289,53
J41,1409,1554,100
J42,1414,1558,46
J43,1419,1562,83
J44,1424,1566,39
J45,1429,1570,76
J46,1434,1574,32
J47,1439,1578,69
J48,1444,1582,25
J49,1449,1586,62
J50,1454,1590,99
