Busy Time
Capacity
2
Job,Release,Deadline,processingTime
J1,703,1298,68
J2,706,1296,24
J3,709,1294,61
J4,712,1292,98
J5,715,1290,54
J6,718,1288,91
J7,721,1286,47
J8,724,1284,84
J9,727,1282,40
J10,730,1280,77
J11,733,1278,33
J12,736,1276,70
J13,739,1274,26
J14,742,1272,63
J15,745,1270,100
J16,748,1268,56
J17,751,1266,93
J18,754,1264,49
J19,757,1262,86
J20,760,1260,42
J21,763,1258,79
J22,766,1256,35
J23,769,1254,72
J24,772,1252,28
J25,775,1250,65
J26,778,1248,21
J27,781,1246,58
J28,784,1244,95
J29,787,1242,51
J30,790,1240,88
J31,793,1238,44
J32,796,1236,81
J33,799,1234,37
J34,802,1232,74
J35,805,1230,30
J36,808,1228,67
J37,811,1226,23
J38,814,1224,60
J39,817,1222,97
J40,820,1220,53
J41,823,1218,90
J42,826,1216,46
J43,829,1214,83
J44,832,1212,39
J45,835,1210,76
J46,838,1208,32
J47,841,1206,69
J48,844,1204,25
J49,847,1202,62
J50,850,1200,99
