Busy Time
Capacity
2
Job,Release,Deadline,processingTime
J1,1,13,9
J2,2,19,13
J3,4,15,6
J4,5,21,10
J5,7,28,14
J6,8,23,7
J7,9,22,11
J8,11,29,15
J9,12,24,8
J10,13,30,12
J11,15,26,5
J12,16,32,9
J13,18,39,13
J14,19,27,6
J15,20,33,10
J16,22,40,14
J17,23,35,7
J18,24,41,11
J19,26,48,15
J20,27,43,8
J21,29,43,12
J22,30,38,5
J23,31,44,9
J24,33,51,13
J25,34,46,6
J26,35,52,10
J27,37,59,14
J28,38,47,7
J29,40,54,11
J30,41,60,15
J31,42,55,8
J32,44,62,12
J33,45,57,5
J34,46,63,9
J35,48,63,13
J36,49,58,6
J37,51,65,10
J38,52,71,14
J39,53,66,7
J40,55,73,11
J41,56,79,15
J42,57,67,8
J43,59,74,12
J44,60,69,5
J45,62,76,9
J46,63,82,13
J47,64,77,6
J48,66,84,10
J49,67,83,14
J50,69,79,7
J51,70,85,11
J52,71,91,15
J53,73,87,8
J54,74,93,12
J55,75,88,5
J56,77,88,9
J57,78,94,13
J58,80,90,6
J59,81,96,10
J60,82,102,14
J61,84,98,7
J62,85,104,11
J63,86,103,15
J64,88,99,8
J65,89,105,12
J66,91,101,5
J67,92,107,9
J68,93,113,13
J69,95,109,6
J70,96,108,10
J71,97,114,14
J72,99,110,7
J73,100,116,11
J74,102,123,15
J75,103,118,8
J76,104,124,12
J77,106,113,5
J78,107,119,9
J79,108,125,13
J80,110,121,6
J81,111,127,10
J82,113,134,14
J83,114,129,7
J84,115,128,11
J85,117,135,15
J86,118,130,8
J87,119,136,12
J88,121,132,5
J89,122,138,9
J90,124,145,13
J91,125,133,6
J92,126,139,10
J93,128,146,14
J94,129,141,7
J95,130,147,11
J96,132,154,15
J97,133,149,8
J98,135,149,12
J99,136,144,5
