Busy Time
Capacity
2
Job,Release,Deadline,processingTime
J1,1,30,26
J2,20,45,21
J3,39,81,37
J4,57,95,32
J5,76,110,27
J6,95,125,22
J7,114,154,38
J8,132,168,33
J9,151,183,28
J10,170,198,23
J11,189,234,39
J12,208,249,34
J13,226,263,29
J14,245,271,24
J15,264,307,40
J16,283,322,35
J17,301,336,30
J18,320,351,25
J19,339,366,20
J20,358,402,36
J21,377,410,31
J22,395,424,26
J23,414,439,21
J24,433,475,37
J25,452,490,32
J26,470,504,27
J27,489,519,22
J28,508,548,38
J29,527,563,33
J30,545,577,28
J31,564,592,23
J32,583,628,39
J33,602,643,34
J34,621,658,29
J35,639,665,24
J36,658,701,40
J37,677,716,35
J38,696,731,30
J39,714,745,25
J40,733,760,20
J41,752,796,36
J42,771,804,31
J43,790,819,26
J44,808,833,21
J45,827,869,37
J46,846,884,32
J47,865,899,27
J48,883,913,22
J49,902,942,38
J50,921,957,33
J51,940,972,28
J52,959,987,23
J53,977,1022,39
J54,996,1037,34
J55,1015,1052,29
J56,1034,1060,24
J57,1052,1095,40
J58,1071,1110,35
J59,1090,1125,30
J60,1109,1140,25
J61,1128,1155,20
J62,1146,1190,36
J63,1165,1198,31
J64,1184,1213,26
J65,1203,1228,21
J66,1221,1263,37
J67,1240,1278,32
J68,1259,1293,27
J69,1278,1308,22
J70,1297,1337,38
J71,1315,1351,33
J72,1334,1366,28
J73,1353,1381,23
J74,1372,1417,39
J75,1390,1431,34
J76,1409,1446,29
J77,1428,1454,24
J78,1447,1490,40
J79,1465,1504,35
J80,1484,1519,30
J81,1503,1534,25
J82,1522,1549,20
J83,1541,1585,36
J84,1559,1592,31
J85,1578,1607,26
J86,1597,1622,21
J87,1616,1658,37
J88,1634,1672,32
J89,1653,1687,27
J90,1672,1702,22
J91,1691,1731,38
J92,1710,1746,33
J93,1728,1760,28
J94,1747,1775,23
J95,1766,1811,39
J96,1785,1826,34
J97,1803,1840,29
J98,1822,1848,24
J99,1841,1884,40
