Busy Time
Capacity
2
Job,Release,Deadline,processingTime
J1,2,2000,68
J2,3,2000,24
J3,4,2000,61
J4,5,2000,98
J5,6,2000,54
J6,7,2000,91
J7,8,2000,47
J8,9,2000,84
J9,10,2000,40
J10,11,2000,77
J11,12,2000,33
J12,13,2000,70
J13,14,2000,26
J14,15,2000,63
J15,16,2000,100
J16,17,2000,56
J17,18,2000,93
J18,19,2000,49
J19,20,2000,86
J20,21,2000,42
J21,22,2000,79
J22,23,2000,35
J23,24,2000,72
J24,25,2000,28
J25,26,2000,65
J26,27,2000,21
J27,28,2000,58
J28,29,2000,95
J29,30,2000,51
J30,31,2000,88
J31,32,2000,44
J32,33,2000,81
J33,34,2000,37
J34,35,2000,74
J35,36,2000,30
J36,37,2000,67
J37,38,2000,23
J38,39,2000,60
J39,40,2000,97
J40,41,2000,53
J41,42,2000,90
J42,43,2000,46
J43,44,2000,83
J44,45,2000,39
J45,46,2000,76
J46,47,2000,32
J47,48,2000,69
J48,49,2000,25
J49,50,2000,62
J50,51,2000,99
J51,52,2000,55
J52,53,2000,92
J53,54,2000,48
J54,55,2000,85
J55,56,2000,41
J56,57,2000,78
J57,58,2000,34
J58,59,2000,71
J59,60,2000,27
J60,61,2000,64
J61,62,2000,20
J62,63,2000,57
J63,64,2000,94
J64,65,2000,50
J65,66,2000,87
J66,67,2000,43
J67,68,2000,80
J68,69,2000,36
J69,70,2000,73
J70,71,2000,29
J71,72,2000,66
J72,73,2000,22
J73,74,2000,59
J74,75,2000,96
J75,76,2000,52
J76,77,2000,89
J77,78,2000,45
J78,79,2000,82
J79,80,2000,38
J80,81,2000,75
J81,82,2000,31
J82,83,2000,68
J83,84,2000,24
J84,85,2000,61
J85,86,2000,98
J86,87,2000,54
J87,88,2000,91
J88,89,2000,47
J89,90,2000,84
J90,91,2000,40
J91,92,2000,77
J92,93,2000,33
J93,94,2000,70
J94,95,2000,26
J95,96,2000,63
J96,97,2000,100
J97,98,2000,56
