Busy Time
Capacity
2
Job,Release,Deadline,processingTime
A,3,6,1
B,3,9,3
C,1,10,2
D,2,9,5
E,4,10,4
F,2,6,1
G,3,14,5
H,3,11,5
I,5,15,5
J,4,14,4
K,5,14,1
L,4,12,4
M,6,11,2
N,6,9,1
O,6,11,1
P,7,16,5
Q,6,16,4
R,6,12,4
S,9,20,3
T,9,22,5
U,8,16,5
V,10,13,1
W,10,20,2
X,9,18,1
Y,9,15,1
Z,10,21,4
AA,10,16,2
AB,11,20,2
AC,11,18,1
AD,12,20,2
AE,13,18,2
AF,12,20,4
AG,13,21,5
AH,14,25,3
AI,12,22,2
AJ,12,20,3
AK,14,18,1
AL,15,21,3
AM,15,24,4
AN,16,23,4
AO,15,20,2
AP,16,27,5
AQ,16,26,5
AR,17,25,4
AS,15,23,2
AT,17,26,1
AU,16,20,1
AV,18,28,2
AW,19,29,4
AX,17,26,4
AY,19,29,4
AZ,19,32,5
BA,18,26,1
BB,20,31,3
BC,21,26,3
BD,20,27,4
BE,20,28,1
BF,22,31,3
BG,20,27,5
BH,22,33,3
BI,23,34,5
BJ,21,27,2
BK,21,34,5
BL,24,31,1
BM,23,29,4
BN,22,33,3
BO,24,28,2
BP,23,30,5
BQ,23,35,4
BR,24,37,5
BS,24,33,2
BT,25,33,5
BU,26,39,5
BV,27,34,4
BW,27,36,2
BX,27,38,4
BY,28,36,3
BZ,28,34,4
CA,27,31,2
CB,28,35,1
CC,29,37,2
CD,28,31,1
CE,30,34,1
CF,28,37,1
CG,30,37,1
CH,29,39,3
CI,30,38,2
CJ,30,41,5
CK,31,41,2
CL,31,38,4
CM,31,39,1
CN,32,40,3
CO,32,44,4
CP,34,42,1
CQ,34,37,1
CR,33,44,3
CS,33,38,2
CT,33,43,5
CU,33,40,4
CV,35,42,4
