Iteration,Current job deadline,Added intervals,Added length,Job considered
1,24,"[4, 24)",20,J1
2,43,"[28, 43)",15,J2
3,62,"[47, 62)",15,J3
4,80,"[64, 80)",16,J4
5,83,none,0,J5
6,96,"[82, 96)",14,J6
7,115,"[97, 115)",18,J7
8,117,none,0,J8
9,136,"[120, 136)",16,J9
10,155,"[138, 155)",17,J10
11,158,none,0,J11
12,170,"[157, 170)",13,J12
13,189,"[171, 189)",18,J13
14,192,none,0,J14
15,211,"[194, 211)",17,J15
16,229,"[215, 229)",14,J16
17,232,none,0,J17
18,245,"[231, 245)",14,J18
19,264,"[248, 264)",16,J19
20,282,"[265, 282)",17,J20
21,285,none,0,J21
22,304,"[288, 304)",16,J22
23,319,"[306, 319)",13,J24
24,323,"[305, 306); [319, 323)",5,J23
25,338,"[326, 338)",12,J25
26,357,"[339, 357)",18,J26
27,360,none,0,J27
28,378,"[363, 378)",15,J28
29,394,"[380, 394)",14,J30
30,397,"[394, 397)",3,J29
31,413,"[400, 413)",13,J31
32,431,"[414, 431)",17,J32
33,434,none,0,J33
34,453,"[437, 453)",16,J34
35,472,"[458, 472)",14,J35
36,484,"[455, 458); [472, 484)",15,J36
37,487,none,0,J37
38,506,"[488, 506)",18,J38
39,525,"[509, 525)",16,J39
40,527,none,0,J40
41,546,"[532, 546)",14,J41
42,559,"[527, 532); [546, 559)",18,J42
43,562,none,0,J43
44,580,"[563, 580)",17,J44
45,599,"[584, 599)",15,J45
46,602,"[601, 602)",1,J46
47,621,"[607, 621)",14,J47
48,633,"[603, 607); [621, 633)",16,J48
49,636,none,0,J49
50,655,"[637, 655)",18,J50
51,674,"[660, 674)",14,J51
52,692,"[675, 692)",17,J52
53,695,none,0,J53
54,708,"[694, 708)",14,J54
55,727,"[709, 727)",18,J55
56,729,none,0,J56
57,748,"[732, 748)",16,J57
58,767,"[750, 767)",17,J58
59,770,none,0,J59
60,782,"[769, 782)",13,J60
61,801,"[783, 801)",18,J61
62,804,none,0,J62
63,823,"[806, 823)",17,J63
64,841,"[827, 841)",14,J64
65,844,none,0,J65
66,857,"[843, 857)",14,J66
67,876,"[860, 876)",16,J67
68,894,"[877, 894)",17,J68
69,897,none,0,J69
70,916,"[900, 916)",16,J70
71,931,"[918, 931)",13,J72
72,935,"[917, 918); [931, 935)",5,J71
73,950,"[938, 950)",12,J73
74,969,"[951, 969)",18,J74
75,972,none,0,J75
76,990,"[975, 990)",15,J76
77,1006,"[992, 1006)",14,J78
78,1009,"[1006, 1009)",3,J77
79,1025,"[1012, 1025)",13,J79
80,1043,"[1026, 1043)",17,J80
81,1046,none,0,J81
82,1065,"[1049, 1065)",16,J82
83,1084,"[1070, 1084)",14,J83
84,1096,"[1067, 1070); [1084, 1096)",15,J84
85,1099,none,0,J85
86,1118,"[1100, 1118)",18,J86
87,1137,"[1121, 1137)",16,J87
88,1139,none,0,J88
89,1158,"[1144, 1158)",14,J89
90,1171,"[1139, 1144); [1158, 1171)",18,J90
91,1174,none,0,J91
92,1192,"[1175, 1192)",17,J92
93,1211,"[1196, 1211)",15,J93
94,1214,"[1213, 1214)",1,J94
95,1233,"[1219, 1233)",14,J95
96,1245,"[1215, 1219); [1233, 1245)",16,J96
97,1248,none,0,J97
98,1267,"[1249, 1267)",18,J98
99,1286,"[1272, 1286)",14,J99
100,1304,"[1287, 1304)",17,J100
101,1307,none,0,J101
102,1320,"[1306, 1320)",14,J102
103,1339,"[1321, 1339)",18,J103
104,1341,none,0,J104
105,1360,"[1344, 1360)",16,J105
106,1379,"[1362, 1379)",17,J106
107,1382,none,0,J107
108,1394,"[1381, 1394)",13,J108
109,1413,"[1395, 1413)",18,J109
110,1416,none,0,J110
111,1435,"[1418, 1435)",17,J111
112,1453,"[1439, 1453)",14,J112
113,1456,none,0,J113
114,1469,"[1455, 1469)",14,J114
115,1488,"[1472, 1488)",16,J115
116,1506,"[1489, 1506)",17,J116
117,1509,none,0,J117
118,1528,"[1512, 1528)",16,J118
119,1543,"[1530, 1543)",13,J120
120,1547,"[1529, 1530); [1543, 1547)",5,J119
121,1562,"[1550, 1562)",12,J121
122,1581,"[1563, 1581)",18,J122
123,1584,none,0,J123
124,1602,"[1587, 1602)",15,J124
125,1618,"[1604, 1618)",14,J126
126,1621,"[1618, 1621)",3,J125
127,1637,"[1624, 1637)",13,J127
128,1655,"[1638, 1655)",17,J128
129,1658,none,0,J129
130,1677,"[1661, 1677)",16,J130
131,1696,"[1682, 1696)",14,J131
132,1708,"[1679, 1682); [1696, 1708)",15,J132
133,1711,none,0,J133
134,1730,"[1712, 1730)",18,J134
135,1749,"[1733, 1749)",16,J135
136,1751,none,0,J136
137,1770,"[1756, 1770)",14,J137
138,1783,"[1751, 1756); [1770, 1783)",18,J138
139,1786,none,0,J139
140,1804,"[1787, 1804)",17,J140
141,1823,"[1808, 1823)",15,J141
142,1826,"[1825, 1826)",1,J142
143,1845,"[1831, 1845)",14,J143
144,1857,"[1827, 1831); [1845, 1857)",16,J144
145,1860,none,0,J145
146,1879,"[1861, 1879)",18,J146
147,1898,"[1884, 1898)",14,J147
148,1916,"[1899, 1916)",17,J148
149,1919,none,0,J149
150,1932,"[1918, 1932)",14,J150
