Job,Release,Deadline,processingTime
J1,1,24,20
J2,14,43,25
J3,27,62,30
J4,39,80,35
J5,52,83,24
J6,65,96,29
J7,78,115,34
J8,90,117,23
J9,103,136,28
J10,116,155,33
J11,129,158,22
J12,141,170,27
J13,154,189,32
J14,167,192,21
J15,180,211,26
J16,192,229,31
J17,205,232,20
J18,218,245,25
J19,231,264,30
J20,243,282,35
J21,256,285,24
J22,269,304,29
J23,282,323,34
J24,294,319,23
J25,307,338,28
J26,320,357,33
J27,333,360,22
J28,345,378,27
J29,358,397,32
J30,371,394,21
J31,384,413,26
J32,396,431,31
J33,409,434,20
J34,422,453,25
J35,435,472,30
J36,447,484,35
J37,460,487,24
J38,473,506,29
J39,486,525,34
J40,498,527,23
J41,511,546,28
J42,524,559,33
J43,537,562,22
J44,549,580,27
J45,562,599,32
J46,575,602,21
J47,588,621,26
J48,600,633,31
J49,613,636,20
J50,626,655,25
J51,639,674,30
J52,651,692,35
J53,664,695,24
J54,677,708,29
J55,690,727,34
J56,702,729,23
J57,715,748,28
J58,728,767,33
J59,741,770,22
J60,753,782,27
J61,766,801,32
J62,779,804,21
J63,792,823,26
J64,804,841,31
J65,817,844,20
J66,830,857,25
J67,843,876,30
J68,855,894,35
J69,868,897,24
J70,881,916,29
J71,894,935,34
J72,906,931,23
J73,919,950,28
J74,932,969,33
J75,945,972,22
J76,957,990,27
J77,970,1009,32
J78,983,1006,21
J79,996,1025,26
J80,1008,1043,31
J81,1021,1046,20
J82,1034,1065,25
J83,1047,1084,30
J84,1059,1096,35
J85,1072,1099,24
J86,1085,1118,29
J87,1098,1137,34
J88,1110,1139,23
J89,1123,1158,28
J90,1136,1171,33
J91,1149,1174,22
J92,1161,1192,27
J93,1174,1211,32
J94,1187,1214,21
J95,1200,1233,26
J96,1212,1245,31
J97,1225,1248,20
J98,1238,1267,25
J99,1251,1286,30
J100,1263,1304,35
J101,1276,1307,24
J102,1289,1320,29
J103,1302,1339,34
J104,1314,1341,23
J105,1327,1360,28
J106,1340,1379,33
J107,1353,1382,22
J108,1365,1394,27
J109,1378,1413,32
J110,1391,1416,21
J111,1404,1435,26
J112,1416,1453,31
J113,1429,1456,20
J114,1442,1469,25
J115,1455,1488,30
J116,1467,1506,35
J117,1480,1509,24
J118,1493,1528,29
J119,1506,1547,34
J120,1518,1543,23
J121,1531,1562,28
J122,1544,1581,33
J123,1557,1584,22
J124,1569,1602,27
J125,1582,1621,32
J126,1595,1618,21
J127,1608,1637,26
J128,1620,1655,31
J129,1633,1658,20
J130,1646,1677,25
J131,1659,1696,30
J132,1671,1708,35
J133,1684,1711,24
J134,1697,1730,29
J135,1710,1749,34
J136,1722,1751,23
J137,1735,1770,28
J138,1748,1783,33
J139,1761,1786,22
J140,1773,1804,27
J141,1786,1823,32
J142,1799,1826,21
J143,1812,1845,26
J144,1824,1857,31
J145,1837,1860,20
J146,1850,1879,25
J147,1863,1898,30
J148,1875,1916,35
J149,1888,1919,24
J150,1901,1932,29
