Interval,Start,End,Length
Interval 1,4,24,20
Interval 2,28,43,15
Interval 3,47,62,15
Interval 4,64,80,16
Interval 5,82,96,14
Interval 6,97,115,18
Interval 7,120,136,16
Interval 8,138,155,17
Interval 9,157,170,13
Interval 10,171,189,18
Interval 11,194,211,17
Interval 12,215,229,14
Interval 13,231,245,14
Interval 14,248,264,16
Interval 15,265,282,17
Interval 16,288,304,16
Interval 17,305,323,18
Interval 18,326,338,12
Interval 19,339,357,18
Interval 20,363,378,15
Interval 21,380,397,17
Interval 22,400,413,13
Interval 23,414,431,17
Interval 24,437,453,16
Interval 25,455,484,29
Interval 26,488,506,18
Interval 27,509,525,16
Interval 28,527,559,32
Interval 29,563,580,17
Interval 30,584,599,15
Interval 31,601,602,1
Interval 32,603,633,30
Interval 33,637,655,18
Interval 34,660,674,14
Interval 35,675,692,17
Interval 36,694,708,14
Interval 37,709,727,18
Interval 38,732,748,16
Interval 39,750,767,17
Interval 40,769,782,13
Interval 41,783,801,18
Interval 42,806,823,17
Interval 43,827,841,14
Interval 44,843,857,14
Interval 45,860,876,16
Interval 46,877,894,17
Interval 47,900,916,16
Interval 48,917,935,18
Interval 49,938,950,12
Interval 50,951,969,18
Interval 51,975,990,15
Interval 52,992,1009,17
Interval 53,1012,1025,13
Interval 54,1026,1043,17
Interval 55,1049,1065,16
Interval 56,1067,1096,29
Interval 57,1100,1118,18
Interval 58,1121,1137,16
Interval 59,1139,1171,32
Interval 60,1175,1192,17
Interval 61,1196,1211,15
Interval 62,1213,1214,1
Interval 63,1215,1245,30
Interval 64,1249,1267,18
Interval 65,1272,1286,14
Interval 66,1287,1304,17
Interval 67,1306,1320,14
Interval 68,1321,1339,18
Interval 69,1344,1360,16
Interval 70,1362,1379,17
Interval 71,1381,1394,13
Interval 72,1395,1413,18
Interval 73,1418,1435,17
Interval 74,1439,1453,14
Interval 75,1455,1469,14
Interval 76,1472,1488,16
Interval 77,1489,1506,17
Interval 78,1512,1528,16
Interval 79,1529,1547,18
Interval 80,1550,1562,12
Interval 81,1563,1581,18
Interval 82,1587,1602,15
Interval 83,1604,1621,17
Interval 84,1624,1637,13
Interval 85,1638,1655,17
Interval 86,1661,1677,16
Interval 87,1679,1708,29
Interval 88,1712,1730,18
Interval 89,1733,1749,16
Interval 90,1751,1783,32
Interval 91,1787,1804,17
Interval 92,1808,1823,15
Interval 93,1825,1826,1
Interval 94,1827,1857,30
Interval 95,1861,1879,18
Interval 96,1884,1898,14
Interval 97,1899,1916,17
Interval 98,1918,1932,14
