Job,Start,End,Length
J1,4,24,20
J10,89,95,6
J10,97,110,13
J10,112,126,14
J100,949,956,7
J100,957,972,15
J100,974,987,13
J101,961,972,11
J101,974,987,13
J102,965,972,7
J102,974,996,22
J103,975,996,21
J103,999,1012,13
J104,985,996,11
J104,999,1011,12
J105,994,996,2
J105,999,1012,13
J105,1014,1027,13
J106,1006,1012,6
J106,1014,1027,13
J106,1029,1043,14
J107,1018,1027,9
J107,1029,1042,13
J108,1023,1027,4
J108,1029,1052,23
J109,1032,1052,20
J109,1055,1067,12
J11,101,110,9
J11,112,125,13
J110,1043,1052,9
J110,1055,1067,12
J111,1051,1052,1
J111,1055,1067,12
J111,1069,1082,13
J112,1063,1067,4
J112,1069,1082,13
J112,1084,1098,14
J113,1075,1082,7
J113,1084,1097,13
J114,1080,1082,2
J114,1084,1107,23
J115,1089,1107,18
J115,1110,1122,12
J116,1099,1107,8
J116,1110,1122,12
J116,1123,1138,15
J117,1113,1122,9
J117,1123,1138,15
J118,1121,1122,1
J118,1123,1138,15
J118,1140,1153,13
J119,1130,1138,8
J119,1140,1162,22
J119,1165,1169,4
J12,106,110,4
J12,112,135,23
J120,1137,1138,1
J120,1140,1162,22
J121,1147,1162,15
J121,1165,1178,13
J122,1156,1162,6
J122,1165,1178,13
J122,1179,1193,14
J123,1170,1178,8
J123,1179,1193,14
J124,1177,1178,1
J124,1179,1193,14
J124,1196,1208,12
J125,1186,1193,7
J125,1196,1217,21
J125,1220,1224,4
J126,1196,1217,21
J127,1204,1217,13
J127,1220,1233,13
J128,1214,1217,3
J128,1220,1233,13
J128,1234,1249,15
J129,1227,1233,6
J129,1234,1248,14
J13,116,135,19
J13,138,151,13
J130,1234,1249,15
J130,1254,1264,10
J131,1244,1249,5
J131,1254,1279,25
J132,1254,1289,35
J133,1264,1288,24
J134,1271,1289,18
J134,1293,1304,11
J135,1280,1289,9
J135,1293,1304,11
J135,1305,1319,14
J136,1295,1304,9
J136,1305,1319,14
J137,1303,1304,1
J137,1305,1319,14
J137,1321,1334,13
J138,1309,1319,10
J138,1321,1344,23
J139,1322,1344,22
J14,126,135,9
J14,138,150,12
J140,1328,1344,16
J140,1348,1359,11
J141,1338,1344,6
J141,1348,1359,11
J141,1360,1375,15
J142,1352,1359,7
J142,1360,1374,14
J143,1362,1375,13
J143,1377,1390,13
J144,1366,1375,9
J144,1377,1399,22
J145,1379,1399,20
J146,1385,1399,14
J146,1403,1414,11
J147,1395,1399,4
J147,1403,1414,11
J147,1415,1430,15
J148,1408,1414,6
J148,1415,1430,15
J148,1432,1446,14
J149,1419,1430,11
J149,1432,1445,13
J15,138,151,13
J15,153,166,13
J150,1424,1430,6
J150,1432,1455,23
J151,1433,1455,22
J151,1458,1470,12
J152,1444,1455,11
J152,1458,1470,12
J153,1452,1455,3
J153,1458,1470,12
J153,1472,1485,13
J154,1464,1470,6
J154,1472,1485,13
J154,1487,1501,14
J155,1476,1485,9
J155,1487,1500,13
J156,1481,1485,4
J156,1487,1510,23
J157,1490,1510,20
J157,1513,1525,12
J158,1501,1510,9
J158,1513,1525,12
J159,1513,1525,12
J159,1527,1541,14
J16,146,151,5
J16,153,166,13
J16,168,181,13
J160,1521,1525,4
J160,1527,1541,14
J160,1543,1556,13
J161,1534,1541,7
J161,1543,1556,13
J162,1538,1541,3
J162,1543,1565,22
J163,1548,1565,17
J163,1568,1581,13
J164,1557,1565,8
J164,1568,1581,13
J164,1582,1596,14
J165,1571,1581,10
J165,1582,1596,14
J166,1579,1581,2
J166,1582,1596,14
J166,1598,1611,13
J167,1588,1596,8
J167,1598,1620,22
J167,1623,1627,4
J168,1595,1596,1
J168,1598,1620,22
J169,1605,1620,15
J169,1623,1636,13
J17,159,166,7
J17,168,181,13
J170,1615,1620,5
J170,1623,1636,13
J170,1637,1652,15
J171,1628,1636,8
J171,1637,1651,14
J172,1637,1652,15
J172,1655,1667,12
J173,1644,1652,8
J173,1655,1676,21
J173,1679,1682,3
J174,1655,1676,21
J175,1662,1676,14
J175,1679,1691,12
J176,1672,1676,4
J176,1679,1691,12
J176,1692,1707,15
J177,1685,1691,6
J177,1692,1706,14
J178,1692,1707,15
J178,1712,1722,10
J179,1702,1707,5
J179,1712,1737,25
J18,163,166,3
J18,168,190,22
J180,1712,1747,35
J181,1723,1747,24
J182,1729,1747,18
J182,1751,1762,11
J183,1739,1747,8
J183,1751,1762,11
J183,1763,1778,15
J184,1753,1762,9
J184,1763,1777,14
J185,1763,1778,15
J185,1780,1793,13
J186,1767,1778,11
J186,1780,1802,22
J187,1780,1802,22
J188,1786,1802,16
J188,1806,1817,11
J189,1796,1802,6
J189,1806,1817,11
J189,1818,1833,15
J19,173,190,17
J19,193,206,13
J190,1811,1817,6
J190,1818,1833,15
J191,1820,1833,13
J191,1835,1848,13
J192,1825,1833,8
J192,1835,1858,23
J193,1837,1857,20
J194,1844,1858,14
J194,1862,1873,11
J195,1853,1858,5
J195,1862,1873,11
J195,1874,1888,14
J196,1866,1873,7
J196,1874,1888,14
J196,1890,1904,14
J197,1877,1888,11
J197,1890,1903,13
J198,1882,1888,6
J198,1890,1913,23
J199,1891,1913,22
J199,1916,1928,12
J2,11,24,13
J2,28,40,12
J20,182,190,8
J20,193,206,13
J20,207,221,14
J200,1902,1913,11
J200,1916,1928,12
J21,196,206,10
J21,207,221,14
J22,205,206,1
J22,207,221,14
J22,223,237,14
J23,213,221,8
J23,223,246,23
J23,249,252,3
J24,223,246,23
J25,230,246,16
J25,249,261,12
J26,240,246,6
J26,249,261,12
J26,262,277,15
J27,253,261,8
J27,262,276,14
J28,262,277,15
J28,280,292,12
J29,269,277,8
J29,280,301,21
J29,304,307,3
J3,20,24,4
J3,28,40,12
J3,41,55,14
J30,280,301,21
J31,287,301,14
J31,304,316,12
J32,297,301,4
J32,304,316,12
J32,317,332,15
J33,311,316,5
J33,317,332,15
J34,317,332,15
J34,337,347,10
J35,328,332,4
J35,337,363,26
J36,337,372,35
J37,348,372,24
J38,354,372,18
J38,376,387,11
J39,364,372,8
J39,376,387,11
J39,388,403,15
J4,33,40,7
J4,41,55,14
J4,57,71,14
J40,378,387,9
J40,388,402,14
J41,388,403,15
J41,405,418,13
J42,392,403,11
J42,405,427,22
J43,405,427,22
J44,412,427,15
J44,431,443,12
J45,421,427,6
J45,431,443,12
J45,444,458,14
J46,436,443,7
J46,444,458,14
J47,445,458,13
J47,460,473,13
J48,450,458,8
J48,460,483,23
J49,462,482,20
J5,44,55,11
J5,57,70,13
J50,469,483,14
J50,487,498,11
J51,478,483,5
J51,487,498,11
J51,499,513,14
J52,491,498,7
J52,499,513,14
J52,515,529,14
J53,502,513,11
J53,515,528,13
J54,507,513,6
J54,515,538,23
J55,517,538,21
J55,541,554,13
J56,527,538,11
J56,541,553,12
J57,536,538,2
J57,541,554,13
J57,556,569,13
J58,547,554,7
J58,556,569,13
J58,571,584,13
J59,560,569,9
J59,571,584,13
J6,49,55,6
J6,57,80,23
J60,564,569,5
J60,571,593,22
J61,574,593,19
J61,596,609,13
J62,584,593,9
J62,596,608,12
J63,596,609,13
J63,611,624,13
J64,605,609,4
J64,611,624,13
J64,626,640,14
J65,617,624,7
J65,626,639,13
J66,622,624,2
J66,626,649,23
J67,631,649,18
J67,652,664,12
J68,641,649,8
J68,652,664,12
J68,665,680,15
J69,654,664,10
J69,665,679,14
J7,58,80,22
J7,83,95,12
J70,663,664,1
J70,665,680,15
J70,682,695,13
J71,671,680,9
J71,682,704,22
J71,707,710,3
J72,679,680,1
J72,682,704,22
J73,688,704,16
J73,707,719,12
J74,698,704,6
J74,707,719,12
J74,720,735,15
J75,712,719,7
J75,720,735,15
J76,720,735,15
J76,738,750,12
J77,728,735,7
J77,738,759,21
J77,762,766,4
J78,738,759,21
J79,746,759,13
J79,762,775,13
J8,69,80,11
J8,83,95,12
J80,755,759,4
J80,762,775,13
J80,776,790,14
J81,769,775,6
J81,776,790,14
J82,774,775,1
J82,776,790,14
J82,795,805,10
J83,786,790,4
J83,795,821,26
J84,795,830,35
J85,806,830,24
J86,813,830,17
J86,834,846,12
J87,822,830,8
J87,834,846,12
J87,847,861,14
J88,837,846,9
J88,847,861,14
J89,845,846,1
J89,847,861,14
J89,863,876,13
J9,77,80,3
J9,83,95,12
J9,97,110,13
J90,851,861,10
J90,863,886,23
J91,863,885,22
J92,870,886,16
J92,890,901,11
J93,879,886,7
J93,890,901,11
J93,902,916,14
J94,894,901,7
J94,902,916,14
J95,903,916,13
J95,918,931,13
J96,908,916,8
J96,918,941,23
J97,921,941,20
J98,927,941,14
J98,945,956,11
J99,937,941,4
J99,945,956,11
J99,957,972,15
