Iteration,Current job deadline,Added intervals,Added length,Job considered
1,3,"[2, 3)",1,J1
2,5,"[3, 5)",2,J2
3,10,"[9, 10)",1,J3
4,13,"[11, 13)",2,J4
5,17,"[14, 17)",3,J5
6,17,none,0,J6
7,24,"[19, 24)",5,J7
8,25,none,0,J8
9,29,"[27, 29)",2,J10
10,31,none,0,J9
11,33,"[31, 33)",2,J11
12,37,"[35, 37)",2,J12
13,40,"[39, 40)",1,J13
14,41,"[38, 39); [40, 41)",2,J14
15,47,"[45, 47)",2,J15
16,49,"[48, 49)",1,J16
17,53,"[52, 53)",1,J18
18,54,"[49, 52); [53, 54)",4,J17
19,61,"[57, 61)",4,J19
20,61,none,0,J20
21,63,"[62, 63)",1,J21
22,65,"[64, 65)",1,J22
23,70,"[69, 70)",1,J23
24,73,"[71, 73)",2,J24
25,77,"[76, 77)",1,J25
26,77,"[74, 76)",2,J26
27,84,"[79, 84)",5,J27
28,85,none,0,J28
29,89,"[88, 89)",1,J30
30,91,none,0,J29
31,93,"[91, 93)",2,J31
32,97,"[95, 97)",2,J32
33,100,"[99, 100)",1,J33
34,101,"[100, 101)",1,J34
35,107,"[103, 107)",4,J35
36,109,none,0,J36
37,113,"[110, 113)",3,J38
38,114,"[109, 110); [113, 114)",2,J37
39,121,"[117, 121)",4,J39
40,121,none,0,J40
41,123,"[122, 123)",1,J41
42,125,none,0,J42
43,130,"[129, 130)",1,J43
44,133,"[131, 133)",2,J44
45,137,"[134, 137)",3,J45
46,137,none,0,J46
47,144,"[139, 144)",5,J47
48,145,none,0,J48
49,149,"[146, 149)",3,J50
50,151,none,0,J49
51,153,"[151, 153)",2,J51
52,157,"[155, 157)",2,J52
53,160,"[159, 160)",1,J53
54,161,none,0,J54
55,167,"[165, 167)",2,J55
56,169,"[168, 169)",1,J56
57,173,"[171, 173)",2,J58
58,174,"[169, 171); [173, 174)",3,J57
59,181,"[177, 181)",4,J59
60,181,none,0,J60
61,183,"[182, 183)",1,J61
62,185,"[183, 185)",2,J62
63,190,"[189, 190)",1,J63
64,193,"[191, 193)",2,J64
65,197,"[196, 197)",1,J65
66,197,none,0,J66
67,204,"[199, 204)",5,J67
68,205,none,0,J68
69,209,"[207, 209)",2,J70
70,211,none,0,J69
71,213,"[211, 213)",2,J71
72,217,"[215, 217)",2,J72
73,220,"[219, 220)",1,J73
74,221,"[218, 219); [220, 221)",2,J74
75,227,"[223, 227)",4,J75
76,229,none,0,J76
77,233,"[232, 233)",1,J78
78,234,"[229, 232); [233, 234)",4,J77
79,241,"[237, 241)",4,J79
80,241,none,0,J80
81,243,"[242, 243)",1,J81
82,245,"[244, 245)",1,J82
83,250,"[249, 250)",1,J83
84,253,"[251, 253)",2,J84
85,257,"[254, 257)",3,J85
86,257,none,0,J86
87,264,"[259, 264)",5,J87
88,265,none,0,J88
89,269,"[268, 269)",1,J90
90,271,none,0,J89
91,273,"[271, 273)",2,J91
92,277,"[275, 277)",2,J92
93,280,"[279, 280)",1,J93
94,281,"[280, 281)",1,J94
95,287,"[285, 287)",2,J95
96,289,"[288, 289)",1,J96
97,293,"[290, 293)",3,J98
98,294,"[289, 290); [293, 294)",2,J97
99,301,"[297, 301)",4,J99
100,301,none,0,J100
101,303,"[302, 303)",1,J101
102,305,none,0,J102
103,310,"[309, 310)",1,J103
