Machine,Start,End,Length,Jobs on Machine
I001_M001,2,3,1,"J1, J2"
I002_M001,3,5,2,J2
I004_M001,9,10,1,"J3, J4"
I006_M001,11,13,2,J4
I008_M001,14,16,2,J5
I009_M001,16,17,1,"J5, J6"
I011_M001,19,21,2,J7
I012_M001,21,24,3,"J7, J8"
I014_M001,27,28,1,J10
I015_M001,28,29,1,"J10, J9"
I017_M001,31,32,1,J11
I018_M001,32,33,1,"J11, J12"
I020_M001,35,37,2,J12
I022_M001,38,39,1,J14
I023_M001,39,40,1,"J13, J14"
I024_M001,40,41,1,J14
I026_M001,45,47,2,"J15, J16"
I028_M001,48,49,1,J16
I029_M001,49,52,3,J17
I030_M001,52,53,1,"J17, J18"
I031_M001,53,54,1,J17
I033_M001,57,58,1,J19
I034_M001,58,61,3,"J19, J20"
I036_M001,62,63,1,"J21, J22"
I038_M001,64,65,1,J22
I040_M001,69,70,1,"J23, J24"
I042_M001,71,73,2,J24
I044_M001,74,76,2,J26
I045_M001,76,77,1,"J25, J26"
I047_M001,79,81,2,J27
I048_M001,81,84,3,"J27, J28"
I050_M001,88,89,1,"J29, J30"
I052_M001,91,92,1,J31
I053_M001,92,93,1,"J31, J32"
I055_M001,95,97,2,J32
I057_M001,99,100,1,"J33, J34"
I058_M001,100,101,1,J34
I060_M001,103,104,1,J35
I061_M001,104,107,3,"J35, J36"
I063_M001,109,110,1,J37
I064_M001,110,113,3,"J37, J38"
I065_M001,113,114,1,J37
I067_M001,117,118,1,J39
I068_M001,118,121,3,"J39, J40"
I070_M001,122,123,1,"J41, J42"
I072_M001,129,130,1,"J43, J44"
I074_M001,131,133,2,J44
I076_M001,134,135,1,J45
I077_M001,135,137,2,"J45, J46"
I079_M001,139,141,2,J47
I080_M001,141,144,3,"J47, J48"
I082_M001,146,148,2,J50
I083_M001,148,149,1,"J49, J50"
I085_M001,151,152,1,J51
I086_M001,152,153,1,"J51, J52"
I088_M001,155,157,2,J52
I090_M001,159,160,1,"J53, J54"
I092_M001,165,167,2,"J55, J56"
I094_M001,168,169,1,J56
I095_M001,169,171,2,J57
I096_M001,171,173,2,"J57, J58"
I097_M001,173,174,1,J57
I099_M001,177,178,1,J59
I100_M001,178,181,3,"J59, J60"
I102_M001,182,183,1,"J61, J62"
I103_M001,183,185,2,J62
I105_M001,189,190,1,"J63, J64"
I107_M001,191,193,2,J64
I109_M001,196,197,1,"J65, J66"
I111_M001,199,201,2,J67
I112_M001,201,204,3,"J67, J68"
I114_M001,207,208,1,J70
I115_M001,208,209,1,"J69, J70"
I117_M001,211,212,1,J71
I118_M001,212,213,1,"J71, J72"
I120_M001,215,217,2,J72
I122_M001,218,219,1,J74
I123_M001,219,220,1,"J73, J74"
I124_M001,220,221,1,J74
I126_M001,223,224,1,J75
I127_M001,224,227,3,"J75, J76"
I129_M001,229,232,3,J77
I130_M001,232,233,1,"J77, J78"
I131_M001,233,234,1,J77
I133_M001,237,238,1,J79
I134_M001,238,241,3,"J79, J80"
I136_M001,242,243,1,"J81, J82"
I138_M001,244,245,1,J82
I140_M001,249,250,1,"J83, J84"
I142_M001,251,253,2,J84
I144_M001,254,257,3,"J85, J86"
I146_M001,259,261,2,J87
I147_M001,261,264,3,"J87, J88"
I149_M001,268,269,1,"J89, J90"
I151_M001,271,272,1,J91
I152_M001,272,273,1,"J91, J92"
I154_M001,275,277,2,J92
I156_M001,279,280,1,"J93, J94"
I157_M001,280,281,1,J94
I159_M001,285,287,2,"J95, J96"
I161_M001,288,289,1,J96
I162_M001,289,290,1,J97
I163_M001,290,293,3,"J97, J98"
I164_M001,293,294,1,J97
I166_M001,297,298,1,J99
