Interval,Start,End,Length
Interval 1,2,5,3
Interval 2,9,10,1
Interval 3,11,13,2
Interval 4,14,17,3
Interval 5,19,24,5
Interval 6,27,29,2
Interval 7,31,33,2
Interval 8,35,37,2
Interval 9,38,41,3
Interval 10,45,47,2
Interval 11,48,54,6
Interval 12,57,61,4
Interval 13,62,63,1
Interval 14,64,65,1
Interval 15,69,70,1
Interval 16,71,73,2
Interval 17,74,77,3
Interval 18,79,84,5
Interval 19,88,89,1
Interval 20,91,93,2
Interval 21,95,97,2
Interval 22,99,101,2
Interval 23,103,107,4
Interval 24,109,114,5
Interval 25,117,121,4
Interval 26,122,123,1
Interval 27,129,130,1
Interval 28,131,133,2
Interval 29,134,137,3
Interval 30,139,144,5
Interval 31,146,149,3
Interval 32,151,153,2
Interval 33,155,157,2
Interval 34,159,160,1
Interval 35,165,167,2
Interval 36,168,174,6
Interval 37,177,181,4
Interval 38,182,185,3
Interval 39,189,190,1
Interval 40,191,193,2
Interval 41,196,197,1
Interval 42,199,204,5
Interval 43,207,209,2
Interval 44,211,213,2
Interval 45,215,217,2
Interval 46,218,221,3
Interval 47,223,227,4
Interval 48,229,234,5
Interval 49,237,241,4
Interval 50,242,243,1
Interval 51,244,245,1
Interval 52,249,250,1
Interval 53,251,253,2
Interval 54,254,257,3
Interval 55,259,264,5
Interval 56,268,269,1
Interval 57,271,273,2
Interval 58,275,277,2
Interval 59,279,281,2
Interval 60,285,287,2
Interval 61,288,294,6
Interval 62,297,301,4
Interval 63,302,303,1
Interval 64,309,310,1
Interval 65,311,313,2
Interval 66,315,317,2
Interval 67,319,324,5
Interval 68,326,329,3
Interval 69,331,333,2
Interval 70,335,337,2
Interval 71,339,340,1
Interval 72,343,347,4
Interval 73,349,354,5
Interval 74,357,361,4
Interval 75,362,365,3
Interval 76,369,370,1
Interval 77,371,373,2
Interval 78,374,377,3
Interval 79,379,384,5
Interval 80,387,389,2
Interval 81,391,393,2
Interval 82,395,397,2
Interval 83,398,401,3
Interval 84,405,407,2
Interval 85,408,414,6
Interval 86,417,421,4
Interval 87,422,423,1
Interval 88,424,425,1
Interval 89,429,430,1
Interval 90,431,433,2
Interval 91,434,437,3
Interval 92,439,444,5
Interval 93,448,449,1
Interval 94,451,453,2
Interval 95,455,457,2
Interval 96,459,461,2
Interval 97,463,467,4
Interval 98,469,474,5
Interval 99,477,481,4
Interval 100,482,483,1
Interval 101,489,490,1
Interval 102,491,493,2
Interval 103,494,497,3
Interval 104,499,504,5
