Iteration,Current job deadline,Added intervals,Added length,Job considered
1,220,"[138, 220)",82,J807
2,220,none,0,J230
3,220,none,0,J618
4,220,none,0,J714
5,220,none,0,J404
6,220,none,0,J56
7,220,none,0,J918
8,220,"[121, 138)",17,J212
9,220,none,0,J994
10,220,none,0,J488
11,220,none,0,J957
12,220,none,0,J198
13,220,none,0,J110
14,220,none,0,J286
15,220,none,0,J157
16,220,none,0,J259
17,220,none,0,J13
18,220,none,0,J454
19,220,none,0,J804
20,220,none,0,J122
21,220,none,0,J617
22,220,none,0,J464
23,220,none,0,J71
24,220,none,0,J62
25,220,none,0,J933
26,220,none,0,J785
27,220,none,0,J189
28,220,none,0,J707
29,220,none,0,J347
30,220,none,0,J173
31,220,none,0,J569
32,220,none,0,J986
33,220,none,0,J319
34,220,none,0,J940
35,220,none,0,J252
36,220,none,0,J312
37,220,none,0,J9
38,220,none,0,J411
39,220,"[120, 121)",1,J1
40,221,none,0,J96
41,221,none,0,J271
42,221,none,0,J694
43,221,none,0,J105
44,221,none,0,J408
45,221,none,0,J355
46,221,none,0,J563
47,221,none,0,J508
48,221,none,0,J294
49,221,none,0,J432
50,221,none,0,J113
51,221,none,0,J911
52,221,none,0,J72
53,221,none,0,J354
54,221,none,0,J589
55,221,none,0,J424
56,221,none,0,J358
57,221,none,0,J444
58,221,none,0,J318
59,221,none,0,J268
60,221,none,0,J436
61,221,none,0,J741
62,221,none,0,J876
63,221,none,0,J620
64,221,none,0,J477
65,221,none,0,J388
66,221,none,0,J178
67,221,none,0,J88
68,221,none,0,J906
69,221,none,0,J687
70,221,none,0,J155
71,221,none,0,J721
72,221,none,0,J512
73,221,none,0,J967
74,221,none,0,J759
75,221,none,0,J52
76,221,none,0,J116
77,221,none,0,J180
78,221,none,0,J291
79,221,none,0,J125
80,221,none,0,J240
81,222,none,0,J679
82,222,none,0,J583
83,222,none,0,J698
84,222,none,0,J619
85,222,none,0,J962
86,222,none,0,J567
87,222,none,0,J118
88,222,none,0,J21
89,222,none,0,J534
90,222,none,0,J879
91,222,none,0,J328
92,222,none,0,J249
93,222,none,0,J207
94,222,none,0,J970
95,222,none,0,J483
96,222,none,0,J506
97,222,none,0,J333
98,222,none,0,J573
99,222,none,0,J439
100,222,none,0,J493
