Machine,Start,End,Length,Jobs on Machine
I001_M001,120,121,1,"J1, J15"
I001_M002,120,121,1,"J177, J258"
I001_M003,120,121,1,"J339, J420"
I001_M004,120,121,1,"J501, J582"
I001_M005,120,121,1,"J663, J744"
I001_M006,120,121,1,"J825, J906"
I001_M007,120,121,1,"J96, J987"
I002_M001,121,122,1,"J1, J131"
I002_M002,121,122,1,"J15, J177"
I002_M003,121,122,1,"J212, J258"
I002_M004,121,122,1,"J293, J339"
I002_M005,121,122,1,"J374, J420"
I002_M006,121,122,1,"J455, J50"
I002_M007,121,122,1,"J501, J536"
I002_M008,121,122,1,"J582, J617"
I002_M009,121,122,1,"J663, J698"
I002_M010,121,122,1,"J744, J779"
I002_M011,121,122,1,"J825, J860"
I002_M012,121,122,1,"J906, J941"
I002_M013,121,122,1,"J96, J987"
I003_M001,122,123,1,"J1, J131"
I003_M002,122,123,1,"J15, J166"
I003_M003,122,123,1,"J177, J212"
I003_M004,122,123,1,"J247, J258"
I003_M005,122,123,1,"J293, J328"
I003_M006,122,123,1,"J339, J374"
I003_M007,122,123,1,"J4, J409"
I003_M008,122,123,1,"J420, J455"
I003_M009,122,123,1,"J490, J50"
I003_M010,122,123,1,"J501, J536"
I003_M011,122,123,1,"J571, J582"
I003_M012,122,123,1,"J617, J652"
I003_M013,122,123,1,"J663, J698"
I003_M014,122,123,1,"J733, J744"
I003_M015,122,123,1,"J779, J814"
I003_M016,122,123,1,"J825, J85"
I003_M017,122,123,1,"J860, J895"
I003_M018,122,123,1,"J906, J941"
I003_M019,122,123,1,"J96, J976"
I003_M020,122,123,1,J987
I004_M001,123,124,1,"J1, J120"
I004_M002,123,124,1,"J131, J15"
I004_M003,123,124,1,"J166, J177"
I004_M004,123,124,1,"J201, J212"
I004_M005,123,124,1,"J247, J258"
I004_M006,123,124,1,"J282, J293"
I004_M007,123,124,1,"J328, J339"
I004_M008,123,124,1,"J363, J374"
I004_M009,123,124,1,"J39, J4"
I004_M010,123,124,1,"J409, J420"
I004_M011,123,124,1,"J444, J455"
I004_M012,123,124,1,"J490, J50"
I004_M013,123,124,1,"J501, J525"
I004_M014,123,124,1,"J536, J571"
I004_M015,123,124,1,"J582, J606"
I004_M016,123,124,1,"J617, J652"
I004_M017,123,124,1,"J663, J687"
I004_M018,123,124,1,"J698, J733"
I004_M019,123,124,1,"J744, J768"
I004_M020,123,124,1,"J779, J814"
I004_M021,123,124,1,"J825, J849"
I004_M022,123,124,1,"J85, J860"
I004_M023,123,124,1,"J895, J906"
I004_M024,123,124,1,"J930, J941"
I004_M025,123,124,1,"J96, J976"
I004_M026,123,124,1,J987
I005_M001,124,125,1,"J1, J120"
I005_M002,124,125,1,"J131, J15"
I005_M003,124,125,1,"J155, J166"
I005_M004,124,125,1,"J177, J201"
I005_M005,124,125,1,"J212, J236"
I005_M006,124,125,1,"J247, J258"
