Machine,Start,End,Length,Jobs on Machine
M001,2,3,1,"D, F"
M001,3,4,1,"B, H"
M001,4,5,1,"B, D"
M001,5,6,1,"A, L"
M001,6,7,1,"D, H"
M001,7,8,1,"I, Q"
M001,8,9,1,"E, U"
M001,9,10,1,"H, U"
M001,10,11,1,"H, T"
M001,11,12,1,"G, L"
M001,12,13,1,"AI, V"
M001,13,14,1,"AD, U"
M001,14,15,1,"AG, P"
M001,15,16,1,"AJ, U"
M001,16,17,1,"AM, AQ"
M001,17,18,1,"AI, AP"
M001,18,19,1,"AL, AR"
M001,19,20,1,"AZ, T"
M001,20,21,1,"AR, BB"
M001,21,22,1,"AN, BC"
M001,22,23,1,"AM, AS"
M001,23,24,1,"BG, BP"
M001,24,25,1,"AV, BI"
M001,25,26,1,"AW, BM"
M001,26,27,1,"BD, BO"
M001,27,28,1,"BP, BV"
M001,28,29,1,"AW, BW"
M001,29,30,1,"AZ, BZ"
M001,30,31,1,"BB, CC"
M001,31,32,1,"BN, CH"
M001,32,33,1,"BR, BY"
M001,33,34,1,"CT, CU"
M001,34,35,1,"CK, CL"
M001,35,36,1,"BU, CV"
M001,36,37,1,"CJ, CO"
M001,37,38,1,"BU, CT"
M001,38,39,1,"CR, CT"
M001,40,41,1,"CP, CT"
M001,41,42,1,"CO, CV"
M001,42,43,1,"CR, CT"
M002,6,7,1,"I, M"
M002,7,8,1,"C, J"
M002,8,9,1,"B, H"
M002,9,10,1,"C, G"
M002,10,11,1,"W, Z"
M002,11,12,1,"P, R"
M002,12,13,1,"J, T"
M002,13,14,1,"AE, W"
M002,14,15,1,"AF, U"
M002,15,16,1,"AF, P"
M002,16,17,1,"AH, AP"
M002,17,18,1,"AJ, AR"
M002,20,21,1,"AP, AQ"
M002,22,23,1,"AQ, BF"
M002,23,24,1,"AH, AT"
M002,24,25,1,"AQ, BM"
M002,26,27,1,"BI, BM"
M002,27,28,1,"BK, BO"
M002,28,29,1,"BU, CA"
M002,29,30,1,"BK, BT"
M002,30,31,1,"CA, CJ"
M002,31,32,1,"BY, CI"
M002,32,33,1,"BX, CG"
M002,33,34,1,"BW, CH"
M002,34,35,1,"BR, CS"
M002,36,37,1,"CC, CQ"
M002,37,38,1,"CN, CV"
M003,6,7,1,"E, J"
M003,7,8,1,"N, R"
M003,8,9,1,"G, L"
M003,9,10,1,"E, I"
M003,10,11,1,"J, Y"
M003,12,13,1,"I, P"
M003,13,14,1,"AG, S"
M003,14,15,1,"AE, I"
M003,15,16,1,"AA, AB"
M003,16,17,1,"AJ, AK"
M003,17,18,1,"AQ, AX"
M003,20,21,1,"AX, BD"
M003,22,23,1,"AX, BJ"
M003,23,24,1,"AP, AX"
M003,24,25,1,"AY, AZ"
M003,26,27,1,"BF, BG"
M003,28,29,1,"BP, BT"
M003,29,30,1,"BP, BX"
M003,31,32,1,"BQ, CK"
M003,32,33,1,"BQ, CH"
M003,33,34,1,"BU, BZ"
M003,34,35,1,"BU, CU"
M003,36,37,1,"CN, CU"
M003,37,38,1,"CI, CO"
M004,7,8,1,"D, E"
M004,8,9,1,"D, Q"
M004,9,10,1,"K, R"
M004,10,11,1,"L, X"
M004,12,13,1,"S, Z"
M004,13,14,1,"AA, Z"
M004,15,16,1,"Q, S"
M004,16,17,1,"AD, AL"
M004,17,18,1,"AN, AO"
M004,20,21,1,"AN, BG"
M004,22,23,1,"AN, BG"
M004,23,24,1,"BI, BK"
M004,24,25,1,"BJ, BP"
M004,26,27,1,"AY, BT"
M004,28,29,1,"CD, CF"
M004,31,32,1,"BI, BT"
M004,32,33,1,"BS, BZ"
M004,33,34,1,"BQ, CL"
M004,36,37,1,"BR, CV"
M004,37,38,1,"BX, CJ"
M005,8,9,1,"O, P"
M005,10,11,1,"Q, R"
M005,12,13,1,"AB, AF"
M005,15,16,1,"AG, AO"
M005,17,18,1,"AF, T"
M005,20,21,1,"AM, AS"
M005,22,23,1,"AV, BA"
M005,24,25,1,"BC, BG"
M005,28,29,1,"BB, BY"
M005,31,32,1,"BR, BV"
M005,32,33,1,"BV, CL"
M005,36,37,1,"CR, CS"
M005,37,38,1,"CM, CU"
M006,10,11,1,"G, M"
M006,12,13,1,"AC, G"
M006,17,18,1,"AM, AU"
M006,20,21,1,"AG, AZ"
M006,22,23,1,"AR, BC"
M006,24,25,1,"AW, BD"
M006,28,29,1,"BK, BX"
M006,31,32,1,"BK, CJ"
M006,32,33,1,"CN, CO"
M007,17,18,1,"AG, Z"
M007,20,21,1,"AH, AL"
M007,22,23,1,"AP, BD"
M007,28,29,1,"BL, BN"
M007,31,32,1,"BH, CL"
M007,32,33,1,"BN, CJ"
M008,20,21,1,"AW, T"
M008,28,29,1,"BI, BS"
M008,32,33,1,"BT, CE"
M009,20,21,1,"AY, BE"
M009,28,29,1,"AZ, CB"
M009,32,33,1,BH
M010,28,29,1,"BQ, BR"
M011,28,29,1,"BH, BM"
M012,28,29,1,"AY, BZ"
M013,28,29,1,"BF, BV"
